"","name","setCode","rarity"
"117","Time Stop","10E","rare"
"118","Time Stretch","10E","rare"
"119","Traumatize","10E","rare"
"120","Twincast","10E","rare"
"121","Twitch","10E","common"
"122","Unsummon","10E","common"
"123","Vedalken Mastermind","10E","uncommon"
"124","Wall of Air","10E","uncommon"
"125","Afflict","10E","common"
"126","Agonizing Memories","10E","uncommon"
"127","Ascendant Evincar","10E","rare"
"128","Assassinate","10E","common"
"129","Beacon of Unrest","10E","rare"
"130","Bog Wraith","10E","uncommon"
"131","Consume Spirit","10E","uncommon"
"132","Contaminated Bond","10E","common"
"133","Cruel Edict","10E","uncommon"
"134","Deathmark","10E","uncommon"
"135","Diabolic Tutor","10E","uncommon"
"136","Distress","10E","common"
"137","Doomed Necromancer","10E","rare"
"138","Dross Crocodile","10E","common"
"139","Drudge Skeletons","10E","uncommon"
"140","Dusk Imp","10E","common"
"141","Essence Drain","10E","common"
"142","Fear","10E","common"
"143","Festering Goblin","10E","common"
"144","Grave Pact","10E","rare"
"145","Graveborn Muse","10E","rare"
"146","Gravedigger","10E","common"
"147","Hate Weaver","10E","uncommon"
"148","Head Games","10E","rare"
"149","Hidden Horror","10E","uncommon"
"150","Highway Robber","10E","common"
"151","Hypnotic Specter","10E","rare"
"152","Knight of Dusk","10E","uncommon"
"153","Looming Shade","10E","common"
"154","Lord of the Pit","10E","rare"
"155","Lord of the Undead","10E","rare"
"156","Mass of Ghouls","10E","common"
"157","Megrim","10E","uncommon"
"158","Midnight Ritual","10E","rare"
"159","Mind Rot","10E","common"
"160","Mortal Combat","10E","rare"
"161","Mortivore","10E","rare"
"162","Nantuko Husk","10E","uncommon"
"163","Nekrataal","10E","uncommon"
"164","Nightmare","10E","rare"
"165","No Rest for the Wicked","10E","uncommon"
"166","Phage the Untouchable","10E","rare"
"167","Phyrexian Rager","10E","common"
"168","Plague Beetle","10E","common"
"169","Plague Wind","10E","rare"
"170","Rain of Tears","10E","uncommon"
"171","Ravenous Rats","10E","common"
"172","Recover","10E","common"
"173","Relentless Rats","10E","uncommon"
"174","Royal Assassin","10E","rare"
"175","Scathe Zombies","10E","common"
"176","Sengir Vampire","10E","rare"
"177","Severed Legion","10E","common"
"178","Sleeper Agent","10E","rare"
"179","Soul Feast","10E","uncommon"
"180","Spineless Thug","10E","common"
"181","Stronghold Discipline","10E","uncommon"
"182","Terror","10E","common"
"183","Thrull Surgeon","10E","uncommon"
"184","Underworld Dreams","10E","rare"
"185","Unholy Strength","10E","common"
"186","Vampire Bats","10E","common"
"187","Anaba Bodyguard","10E","common"
"188","Arcane Teachings","10E","uncommon"
"189","Beacon of Destruction","10E","rare"
"190","Blaze","10E","uncommon"
"191","Bloodfire Colossus","10E","rare"
"192","Bloodrock Cyclops","10E","common"
"193","Bogardan Firefiend","10E","common"
"194","Cone of Flame","10E","uncommon"
"195","Cryoclasm","10E","uncommon"
"196","Demolish","10E","common"
"197","Dragon Roost","10E","rare"
"198","Duct Crawler","10E","common"
"199","Earth Elemental","10E","uncommon"
"200","Firebreathing","10E","common"
"201","Fists of the Anvil","10E","common"
"202","Flamewave Invoker","10E","uncommon"
"203","Flowstone Slide","10E","rare"
"204","Furnace of Rath","10E","rare"
"205","Furnace Whelp","10E","uncommon"
"206","Goblin Elite Infantry","10E","common"
"207","Goblin King","10E","rare"
"208","Goblin Lore","10E","uncommon"
"209","Goblin Piker","10E","common"
"210","Goblin Sky Raider","10E","common"
"211","Guerrilla Tactics","10E","uncommon"
"212","Hill Giant","10E","common"
"213","Incinerate","10E","common"
"214","Kamahl, Pit Fighter","10E","rare"
"215","Lava Axe","10E","common"
"216","Lavaborn Muse","10E","rare"
"217","Lightning Elemental","10E","common"
"218","Manabarbs","10E","rare"
"219","Mogg Fanatic","10E","uncommon"
"220","Orcish Artillery","10E","uncommon"
"221","Prodigal Pyromancer","10E","common"
"222","Pyroclasm","10E","uncommon"
"223","Rage Weaver","10E","uncommon"
"224","Raging Goblin","10E","common"
"225","Relentless Assault","10E","rare"
"226","Rock Badger","10E","common"
"227","Scoria Wurm","10E","rare"
"228","Seismic Assault","10E","rare"
"229","Shatterstorm","10E","uncommon"
"230","Shivan Dragon","10E","rare"
"231","Shivan Hellkite","10E","rare"
"232","Shock","10E","common"
"233","Shunt","10E","rare"
"234","Siege-Gang Commander","10E","rare"
"235","Smash","10E","common"
"236","Soulblast","10E","rare"
"237","Spark Elemental","10E","uncommon"
"238","Spitting Earth","10E","common"
"239","Squee, Goblin Nabob","10E","rare"
"240","Stun","10E","common"
"241","Sudden Impact","10E","uncommon"
"242","Threaten","10E","uncommon"
"243","Thundering Giant","10E","uncommon"
"244","Uncontrollable Anger","10E","common"
"245","Viashino Runner","10E","common"
"246","Viashino Sandscout","10E","common"
"247","Wall of Fire","10E","uncommon"
"248","Warp World","10E","rare"
"249","Abundance","10E","rare"
"250","Aggressive Urge","10E","common"
"251","Avatar of Might","10E","rare"
"252","Birds of Paradise","10E","rare"
"253","Blanchwood Armor","10E","uncommon"
"254","Canopy Spider","10E","common"
"255","Civic Wayfinder","10E","common"
"256","Commune with Nature","10E","common"
"257","Craw Wurm","10E","common"
"258","Creeping Mold","10E","uncommon"
"259","Elven Riders","10E","uncommon"
"260","Elvish Berserker","10E","common"
"261","Elvish Champion","10E","rare"
"262","Elvish Piper","10E","rare"
"263","Enormous Baloth","10E","uncommon"
"264","Femeref Archers","10E","uncommon"
"265","Gaea's Herald","10E","rare"
"266","Giant Growth","10E","common"
"267","Giant Spider","10E","common"
"268","Grizzly Bears","10E","common"
"269","Hunted Wumpus","10E","uncommon"
"270","Hurricane","10E","rare"
"271","Joiner Adept","10E","rare"
"272","Karplusan Strider","10E","uncommon"
"273","Kavu Climber","10E","common"
"274","Llanowar Elves","10E","common"
"275","Llanowar Sentinel","10E","common"
"276","Lure","10E","uncommon"
"277","Might of Oaks","10E","rare"
"278","Might Weaver","10E","uncommon"
"279","Mirri, Cat Warrior","10E","rare"
"280","Molimo, Maro-Sorcerer","10E","rare"
"281","Natural Spring","10E","common"
"282","Naturalize","10E","common"
"283","Overgrowth","10E","common"
"284","Overrun","10E","uncommon"
"285","Pincher Beetles","10E","common"
"286","Primal Rage","10E","uncommon"
"287","Quirion Dryad","10E","rare"
"288","Rampant Growth","10E","common"
"289","Recollect","10E","uncommon"
"290","Regeneration","10E","uncommon"
"291","Rhox","10E","rare"
"292","Root Maze","10E","rare"
"293","Rootwalla","10E","common"
"294","Rushwood Dryad","10E","common"
"295","Scion of the Wild","10E","rare"
"296","Seedborn Muse","10E","rare"
"297","Skyshroud Ranger","10E","common"
"298","Spined Wurm","10E","common"
"299","Stalking Tiger","10E","common"
"300","Stampeding Wildebeests","10E","uncommon"
"301","Sylvan Basilisk","10E","uncommon"
"302","Sylvan Scrying","10E","uncommon"
"303","Tangle Spider","10E","uncommon"
"304","Treetop Bracers","10E","common"
"305","Troll Ascetic","10E","rare"
"306","Upwelling","10E","rare"
"307","Verdant Force","10E","rare"
"308","Viridian Shaman","10E","uncommon"
"309","Wall of Wood","10E","common"
"310","Yavimaya Enchantress","10E","uncommon"
"311","Angel's Feather","10E","uncommon"
"312","Bottle Gnomes","10E","uncommon"
"313","Chimeric Staff","10E","rare"
"314","Chromatic Star","10E","uncommon"
"315","Citanul Flute","10E","rare"
"316","Coat of Arms","10E","rare"
"317","Colossus of Sardia","10E","rare"
"318","Composite Golem","10E","uncommon"
"319","Crucible of Worlds","10E","rare"
"320","Demon's Horn","10E","uncommon"
"321","Doubling Cube","10E","rare"
"322","Dragon's Claw","10E","uncommon"
"323","Fountain of Youth","10E","uncommon"
"324","The Hive","10E","rare"
"325","Howling Mine","10E","rare"
"326","Icy Manipulator","10E","uncommon"
"327","Jayemdae Tome","10E","rare"
"328","Juggernaut","10E","uncommon"
"329","Kraken's Eye","10E","uncommon"
"330","Legacy Weapon","10E","rare"
"331","Leonin Scimitar","10E","uncommon"
"332","Loxodon Warhammer","10E","rare"
"333","Mantis Engine","10E","uncommon"
"334","Millstone","10E","rare"
"335","Mind Stone","10E","uncommon"
"336","Ornithopter","10E","uncommon"
"337","Phyrexian Vault","10E","uncommon"
"338","Pithing Needle","10E","rare"
"339","Platinum Angel","10E","rare"
"340","Razormane Masticore","10E","rare"
"341","Rod of Ruin","10E","uncommon"
"342","Sculpting Steel","10E","rare"
"343","Spellbook","10E","uncommon"
"344","Steel Golem","10E","uncommon"
"345","Whispersilk Cloak","10E","uncommon"
"346","Wurm's Tooth","10E","uncommon"
"347","Adarkar Wastes","10E","rare"
"348","Battlefield Forge","10E","rare"
"349","Brushland","10E","rare"
"350","Caves of Koilos","10E","rare"
"351","Faerie Conclave","10E","uncommon"
"352","Forbidding Watchtower","10E","uncommon"
"353","Ghitu Encampment","10E","uncommon"
"354","Karplusan Forest","10E","rare"
"355","Llanowar Wastes","10E","rare"
"356","Quicksand","10E","uncommon"
"357","Shivan Reef","10E","rare"
"358","Spawning Pool","10E","uncommon"
"359","Sulfurous Springs","10E","rare"
"360","Terramorphic Expanse","10E","common"
"361","Treetop Village","10E","uncommon"
"362","Underground River","10E","rare"
"363","Yavimaya Coast","10E","rare"
"364","Plains","10E","common"
"365","Island","10E","common"
"366","Swamp","10E","common"
"367","Mountain","10E","common"
"368","Forest","10E","common"
"369","Animate Wall","2ED","rare"
"370","Armageddon","2ED","rare"
"371","Balance","2ED","rare"
"372","Benalish Hero","2ED","common"
"373","Black Ward","2ED","uncommon"
"374","Blaze of Glory","2ED","rare"
"375","Blessing","2ED","rare"
"376","Blue Ward","2ED","uncommon"
"377","Castle","2ED","uncommon"
"378","Circle of Protection: Black","2ED","common"
"379","Circle of Protection: Blue","2ED","common"
"380","Circle of Protection: Green","2ED","common"
"381","Circle of Protection: Red","2ED","common"
"382","Circle of Protection: White","2ED","common"
"383","Consecrate Land","2ED","uncommon"
"384","Conversion","2ED","uncommon"
"385","Crusade","2ED","rare"
"386","Death Ward","2ED","common"
"387","Disenchant","2ED","common"
"388","Farmstead","2ED","rare"
"389","Green Ward","2ED","uncommon"
"390","Guardian Angel","2ED","common"
"391","Healing Salve","2ED","common"
"392","Holy Armor","2ED","common"
"393","Holy Strength","2ED","common"
"394","Island Sanctuary","2ED","rare"
"395","Karma","2ED","uncommon"
"396","Lance","2ED","uncommon"
"397","Mesa Pegasus","2ED","common"
"398","Northern Paladin","2ED","rare"
"399","Pearled Unicorn","2ED","common"
"400","Personal Incarnation","2ED","rare"
"401","Purelace","2ED","rare"
"402","Red Ward","2ED","uncommon"
"403","Resurrection","2ED","uncommon"
"404","Reverse Damage","2ED","rare"
"405","Righteousness","2ED","rare"
"406","Samite Healer","2ED","common"
"407","Savannah Lions","2ED","rare"
"408","Serra Angel","2ED","uncommon"
"409","Swords to Plowshares","2ED","uncommon"
"410","Veteran Bodyguard","2ED","rare"
"411","Wall of Swords","2ED","uncommon"
"412","White Knight","2ED","uncommon"
"413","White Ward","2ED","uncommon"
"414","Wrath of God","2ED","rare"
"415","Air Elemental","2ED","uncommon"
"416","Ancestral Recall","2ED","rare"
"417","Animate Artifact","2ED","uncommon"
"418","Blue Elemental Blast","2ED","common"
"419","Braingeyser","2ED","rare"
"420","Clone","2ED","uncommon"
"421","Control Magic","2ED","uncommon"
"422","Copy Artifact","2ED","rare"
"423","Counterspell","2ED","uncommon"
"424","Creature Bond","2ED","common"
"425","Drain Power","2ED","rare"
"426","Feedback","2ED","uncommon"
"427","Flight","2ED","common"
"428","Invisibility","2ED","common"
"429","Jump","2ED","common"
"430","Lifetap","2ED","uncommon"
"431","Lord of Atlantis","2ED","rare"
"432","Magical Hack","2ED","rare"
"433","Mahamoti Djinn","2ED","rare"
"434","Mana Short","2ED","rare"
"435","Merfolk of the Pearl Trident","2ED","common"
"436","Phantasmal Forces","2ED","uncommon"
"437","Phantasmal Terrain","2ED","common"
"438","Phantom Monster","2ED","uncommon"
"439","Pirate Ship","2ED","rare"
"440","Power Leak","2ED","common"
"441","Power Sink","2ED","common"
"442","Prodigal Sorcerer","2ED","common"
"443","Psionic Blast","2ED","uncommon"
"444","Psychic Venom","2ED","common"
"445","Sea Serpent","2ED","common"
"446","Siren's Call","2ED","uncommon"
"447","Sleight of Mind","2ED","rare"
"448","Spell Blast","2ED","common"
"449","Stasis","2ED","rare"
"450","Steal Artifact","2ED","uncommon"
"451","Thoughtlace","2ED","rare"
"452","Time Walk","2ED","rare"
"453","Timetwister","2ED","rare"
"454","Twiddle","2ED","common"
"455","Unsummon","2ED","common"
"456","Vesuvan Doppelganger","2ED","rare"
"457","Volcanic Eruption","2ED","rare"
"458","Wall of Air","2ED","uncommon"
"459","Wall of Water","2ED","uncommon"
"460","Water Elemental","2ED","uncommon"
"461","Animate Dead","2ED","uncommon"
"462","Bad Moon","2ED","rare"
"463","Black Knight","2ED","uncommon"
"464","Bog Wraith","2ED","uncommon"
"465","Contract from Below","2ED","rare"
"466","Cursed Land","2ED","uncommon"
"467","Dark Ritual","2ED","common"
"468","Darkpact","2ED","rare"
"469","Deathgrip","2ED","uncommon"
"470","Deathlace","2ED","rare"
"471","Demonic Attorney","2ED","rare"
"472","Demonic Hordes","2ED","rare"
"473","Demonic Tutor","2ED","uncommon"
"474","Drain Life","2ED","common"
"475","Drudge Skeletons","2ED","common"
"476","Evil Presence","2ED","uncommon"
"477","Fear","2ED","common"
"478","Frozen Shade","2ED","common"
"479","Gloom","2ED","uncommon"
"480","Howl from Beyond","2ED","common"
"481","Hypnotic Specter","2ED","uncommon"
"482","Lich","2ED","rare"
"483","Lord of the Pit","2ED","rare"
"484","Mind Twist","2ED","rare"
"485","Nether Shadow","2ED","rare"
"486","Nettling Imp","2ED","uncommon"
"487","Nightmare","2ED","rare"
"488","Paralyze","2ED","common"
"489","Pestilence","2ED","common"
"490","Plague Rats","2ED","common"
"491","Raise Dead","2ED","common"
"492","Royal Assassin","2ED","rare"
"493","Sacrifice","2ED","uncommon"
"494","Scathe Zombies","2ED","common"
"495","Scavenging Ghoul","2ED","uncommon"
"496","Sengir Vampire","2ED","uncommon"
"497","Simulacrum","2ED","uncommon"
"498","Sinkhole","2ED","common"
"499","Terror","2ED","common"
"500","Unholy Strength","2ED","common"
"501","Wall of Bone","2ED","uncommon"
"502","Warp Artifact","2ED","rare"
"503","Weakness","2ED","common"
"504","Will-o'-the-Wisp","2ED","rare"
"505","Word of Command","2ED","rare"
"506","Zombie Master","2ED","rare"
"507","Burrowing","2ED","uncommon"
"508","Chaoslace","2ED","rare"
"509","Disintegrate","2ED","common"
"510","Dragon Whelp","2ED","uncommon"
"511","Dwarven Demolition Team","2ED","uncommon"
"512","Dwarven Warriors","2ED","common"
"513","Earth Elemental","2ED","uncommon"
"514","Earthbind","2ED","common"
"515","Earthquake","2ED","rare"
"516","False Orders","2ED","common"
"517","Fire Elemental","2ED","uncommon"
"518","Fireball","2ED","common"
"519","Firebreathing","2ED","common"
"520","Flashfires","2ED","uncommon"
"521","Fork","2ED","rare"
"522","Goblin Balloon Brigade","2ED","uncommon"
"523","Goblin King","2ED","rare"
"524","Granite Gargoyle","2ED","rare"
"525","Gray Ogre","2ED","common"
"526","Hill Giant","2ED","common"
"527","Hurloon Minotaur","2ED","common"
"528","Ironclaw Orcs","2ED","common"
"529","Keldon Warlord","2ED","uncommon"
"530","Lightning Bolt","2ED","common"
"531","Mana Flare","2ED","rare"
"532","Manabarbs","2ED","rare"
"533","Mons's Goblin Raiders","2ED","common"
"534","Orcish Artillery","2ED","uncommon"
"535","Orcish Oriflamme","2ED","uncommon"
"536","Power Surge","2ED","rare"
"537","Raging River","2ED","rare"
"538","Red Elemental Blast","2ED","common"
"539","Roc of Kher Ridges","2ED","rare"
"540","Rock Hydra","2ED","rare"
"541","Sedge Troll","2ED","rare"
"542","Shatter","2ED","common"
"543","Shivan Dragon","2ED","rare"
"544","Smoke","2ED","rare"
"545","Stone Giant","2ED","uncommon"
"546","Stone Rain","2ED","common"
"547","Tunnel","2ED","uncommon"
"548","Two-Headed Giant of Foriys","2ED","rare"
"549","Uthden Troll","2ED","uncommon"
"550","Wall of Fire","2ED","uncommon"
"551","Wall of Stone","2ED","uncommon"
"552","Wheel of Fortune","2ED","rare"
"553","Aspect of Wolf","2ED","rare"
"554","Berserk","2ED","uncommon"
"555","Birds of Paradise","2ED","rare"
"556","Camouflage","2ED","uncommon"
"557","Channel","2ED","uncommon"
"558","Cockatrice","2ED","rare"
"559","Craw Wurm","2ED","common"
"560","Elvish Archers","2ED","rare"
"561","Fastbond","2ED","rare"
"562","Fog","2ED","common"
"563","Force of Nature","2ED","rare"
"564","Fungusaur","2ED","rare"
"565","Gaea's Liege","2ED","rare"
"566","Giant Growth","2ED","common"
"567","Giant Spider","2ED","common"
"568","Grizzly Bears","2ED","common"
"569","Hurricane","2ED","uncommon"
"570","Ice Storm","2ED","uncommon"
"571","Instill Energy","2ED","uncommon"
"572","Ironroot Treefolk","2ED","common"
"573","Kudzu","2ED","rare"
"574","Ley Druid","2ED","uncommon"
"575","Lifeforce","2ED","uncommon"
"576","Lifelace","2ED","rare"
"577","Living Artifact","2ED","rare"
"578","Living Lands","2ED","rare"
"579","Llanowar Elves","2ED","common"
"580","Lure","2ED","uncommon"
"581","Natural Selection","2ED","rare"
"582","Regeneration","2ED","common"
"583","Regrowth","2ED","uncommon"
"584","Scryb Sprites","2ED","common"
"585","Shanodin Dryads","2ED","common"
"586","Stream of Life","2ED","common"
"587","Thicket Basilisk","2ED","uncommon"
"588","Timber Wolves","2ED","rare"
"589","Tranquility","2ED","common"
"590","Tsunami","2ED","uncommon"
"591","Verduran Enchantress","2ED","rare"
"592","Wall of Brambles","2ED","uncommon"
"593","Wall of Ice","2ED","uncommon"
"594","Wall of Wood","2ED","common"
"595","Wanderlust","2ED","uncommon"
"596","War Mammoth","2ED","common"
"597","Web","2ED","rare"
"598","Wild Growth","2ED","common"
"599","Ankh of Mishra","2ED","rare"
"600","Basalt Monolith","2ED","uncommon"
"601","Black Lotus","2ED","rare"
"602","Black Vise","2ED","uncommon"
"603","Celestial Prism","2ED","uncommon"
"604","Chaos Orb","2ED","rare"
"605","Clockwork Beast","2ED","rare"
"606","Conservator","2ED","uncommon"
"607","Copper Tablet","2ED","uncommon"
"608","Crystal Rod","2ED","uncommon"
"609","Cyclopean Tomb","2ED","rare"
"610","Dingus Egg","2ED","rare"
"611","Disrupting Scepter","2ED","rare"
"612","Forcefield","2ED","rare"
"613","Gauntlet of Might","2ED","rare"
"614","Glasses of Urza","2ED","uncommon"
"615","Helm of Chatzuk","2ED","rare"
"616","Howling Mine","2ED","rare"
"617","Icy Manipulator","2ED","uncommon"
"618","Illusionary Mask","2ED","rare"
"619","Iron Star","2ED","uncommon"
"620","Ivory Cup","2ED","uncommon"
"621","Jade Monolith","2ED","rare"
"622","Jade Statue","2ED","uncommon"
"623","Jayemdae Tome","2ED","rare"
"624","Juggernaut","2ED","uncommon"
"625","Kormus Bell","2ED","rare"
"626","Library of Leng","2ED","uncommon"
"627","Living Wall","2ED","uncommon"
"628","Mana Vault","2ED","rare"
"629","Meekstone","2ED","rare"
"630","Mox Emerald","2ED","rare"
"631","Mox Jet","2ED","rare"
"632","Mox Pearl","2ED","rare"
"633","Mox Ruby","2ED","rare"
"634","Mox Sapphire","2ED","rare"
"635","Nevinyrral's Disk","2ED","rare"
"636","Obsianus Golem","2ED","uncommon"
"637","Rod of Ruin","2ED","uncommon"
"638","Sol Ring","2ED","uncommon"
"639","Soul Net","2ED","uncommon"
"640","Sunglasses of Urza","2ED","rare"
"641","The Hive","2ED","rare"
"642","Throne of Bone","2ED","uncommon"
"643","Time Vault","2ED","rare"
"644","Winter Orb","2ED","rare"
"645","Wooden Sphere","2ED","uncommon"
"646","Badlands","2ED","rare"
"647","Bayou","2ED","rare"
"648","Plateau","2ED","rare"
"649","Savannah","2ED","rare"
"650","Scrubland","2ED","rare"
"651","Taiga","2ED","rare"
"652","Tropical Island","2ED","rare"
"653","Tundra","2ED","rare"
"654","Underground Sea","2ED","rare"
"655","Volcanic Island","2ED","rare"
"656","Plains","2ED","common"
"657","Island","2ED","common"
"658","Swamp","2ED","common"
"659","Mountain","2ED","common"
"660","Forest","2ED","common"
"661","Karn Liberated","2XM","mythic"
"662","Alabaster Mage","2XM","common"
"663","Ancestral Blade","2XM","common"
"664","Angel of the Dawn","2XM","common"
"665","Archangel of Thune","2XM","mythic"
"666","Auriok Salvagers","2XM","uncommon"
"667","Austere Command","2XM","rare"
"668","Avacyn, Angel of Hope","2XM","mythic"
"669","Blade Splicer","2XM","rare"
"670","Boon Reflection","2XM","rare"
"671","Council's Judgment","2XM","rare"
"672","Crib Swap","2XM","common"
"673","Crusader of Odric","2XM","common"
"674","Ethersworn Canonist","2XM","rare"
"675","Fencing Ace","2XM","uncommon"
"676","Flickerwisp","2XM","uncommon"
"677","Fortify","2XM","common"
"678","Glint-Sleeve Artisan","2XM","common"
"679","Kemba, Kha Regent","2XM","rare"
"680","Land Tax","2XM","mythic"
"681","Leonin Abunas","2XM","rare"
"682","Master Splicer","2XM","uncommon"
"683","Myrsmith","2XM","uncommon"
"684","Open the Vaults","2XM","rare"
"685","Path to Exile","2XM","uncommon"
"686","Puresteel Paladin","2XM","rare"
"687","Remember the Fallen","2XM","common"
"688","Revoke Existence","2XM","common"
"689","Sanctum Gargoyle","2XM","common"
"690","Sanctum Spirit","2XM","common"
"691","Stoneforge Mystic","2XM","rare"
"692","Stonehewer Giant","2XM","rare"
"693","Strength of Arms","2XM","common"
"694","Tempered Steel","2XM","rare"
"695","Thraben Inspector","2XM","common"
"696","Topple the Statue","2XM","uncommon"
"697","Valor in Akros","2XM","uncommon"
"698","Valorous Stance","2XM","uncommon"
"699","Wrath of God","2XM","rare"
"700","Apprentice Wizard","2XM","common"
"701","Arcum Dagsson","2XM","mythic"
"702","Argivian Restoration","2XM","common"
"703","Braids, Conjurer Adept","2XM","rare"
"704","Brainstorm","2XM","common"
"705","Cloudreader Sphinx","2XM","common"
"706","Corridor Monitor","2XM","common"
"707","Cyclonic Rift","2XM","rare"
"708","Deepglow Skate","2XM","rare"
"709","Esperzoa","2XM","uncommon"
"710","Faerie Mechanist","2XM","common"
"711","Force of Will","2XM","mythic"
"712","Frogify","2XM","common"
"713","Grand Architect","2XM","rare"
"714","Hinder","2XM","uncommon"
"715","Inkwell Leviathan","2XM","rare"
"716","Jace, the Mind Sculptor","2XM","mythic"
"717","Master of Etherium","2XM","rare"
"718","Master Transmuter","2XM","rare"
"719","Metallic Rebuke","2XM","common"
"720","Parasitic Strix","2XM","common"
"721","Phyrexian Metamorph","2XM","rare"
"722","Pongify","2XM","uncommon"
"723","Relic Runner","2XM","common"
"724","Reshape","2XM","rare"
"725","Riddlesmith","2XM","uncommon"
"726","Rush of Knowledge","2XM","uncommon"
"727","Sentinel of the Pearl Trident","2XM","uncommon"
"728","Serra Sphinx","2XM","uncommon"
"729","Sift","2XM","common"
"730","Steel Sabotage","2XM","common"
"731","Thirst for Knowledge","2XM","uncommon"
"732","Thought Reflection","2XM","rare"
"733","Treasure Mage","2XM","uncommon"
"734","Vedalken Infuser","2XM","common"
"735","Well of Ideas","2XM","rare"
"736","Ad Nauseam","2XM","rare"
"737","Beacon of Unrest","2XM","rare"
"738","Bone Picker","2XM","common"
"739","Cast Down","2XM","common"
"740","Costly Plunder","2XM","common"
"741","Dark Confidant","2XM","mythic"
"742","Death's Shadow","2XM","rare"
"743","Defiant Salvager","2XM","common"
