,Name,Rarity,Quantity,Price,Language,Finish,Condition,Expansion
50,"ISHKANAH, GRAFWIDOW",,10.0,1.29,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
51,"LILIANA, THE LAST HOPE",,2.0,49.99,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
52,"LILIANA, THE LAST HOPE",,2.0,19.99,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
53,MAUSOLEUM WANDERER,,1.0,2.29,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
54,MIND'S DILATION,,1.0,18.99,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
55,MIRRORWING DRAGON,,1.0,8.88,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
56,SELFLESS SPIRIT,,8.0,11.88,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
57,SPELL QUELLER,RARE,4.0,2.99,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
58,SPLENDID RECLAMATION,,1.0,7.49,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
59,SPLENDID RECLAMATION,,13.0,0.99,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
60,"THALIA, HERETIC CATHAR",,6.0,6.88,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
61,TREE OF PERDITION,,1.0,21.99,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
62,ULRICH OF THE KRALLENHORDE,RARE,3.0,6.99,ENGLISH,NORMAL,LIGHT PLAY,ELDRITCH MOON
63,ULRICH OF THE KRALLENHORDE,RARE,8.0,8.99,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
64,VOLDAREN PARIAH,,2.0,2.49,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
205,ACADEMIC DISPUTE,UNCOMMON,19.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
206,ACADEMIC PROBATION,RARE,13.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
207,ACADEMIC PROBATION (EXTENDED ART),RARE,8.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
208,ACADEMIC PROBATION (EXTENDED ART),RARE,4.0,0.25,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
209,ACCOMPLISHED ALCHEMIST,RARE,1.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
210,ACCOMPLISHED ALCHEMIST (EXTENDED ART),RARE,1.0,1.19,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
211,AETHER HELIX,UNCOMMON,16.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
212,AGELESS GUARDIAN,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
213,ARCANE SUBTRACTION,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
214,ARCHMAGE EMERITUS,RARE,1.0,3.69,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
215,ARCHMAGE EMERITUS (EXTENDED ART),RARE,1.0,3.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
216,ARCHWAY COMMONS,COMMON,5.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
217,ARDENT DUSTSPEAKER,UNCOMMON,19.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
218,ARROGANT POET,COMMON,5.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
219,AUGMENTER PUGILIST / ECHOING EQUATION,RARE,8.0,0.69,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
220,AUGMENTER PUGILIST / ECHOING EQUATION (EXTENDED ART),RARE,5.0,0.25,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
221,AUGMENTER PUGILIST / ECHOING EQUATION (EXTENDED ART),RARE,2.0,0.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
222,BALEFUL MASTERY,RARE,6.0,2.29,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
223,BASIC CONJURATION,RARE,9.0,0.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
224,BASIC CONJURATION (EXTENDED ART),RARE,3.0,0.49,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
225,BASIC CONJURATION (EXTENDED ART),RARE,10.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
226,BAYOU GROFF,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
227,BEAMING DEFIANCE,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
228,BELEDROS WITHERBLOOM (BORDERLESS),MYTHIC,4.0,16.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
229,BIBLIOPLEX ASSISTANT,COMMON,3.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
230,BIG PLAY,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
231,BIOMATHEMATICIAN,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
232,BLADE HISTORIAN,RARE,4.0,0.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
233,BLADE HISTORIAN (EXTENDED ART),RARE,1.0,2.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
234,"BLEX, VEXING PEST / SEARCH FOR BLEX",MYTHIC,2.0,1.29,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
235,"BLEX, VEXING PEST / SEARCH FOR BLEX",MYTHIC,3.0,1.19,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
236,"BLEX, VEXING PEST / SEARCH FOR BLEX (EXTENDED ART)",MYTHIC,3.0,2.59,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
237,BLOOD AGE GENERAL,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
238,BLOOD RESEARCHER,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
239,BLOT OUT THE SKY,MYTHIC,9.0,0.98,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
240,BLOT OUT THE SKY (EXTENDED ART),MYTHIC,2.0,3.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
241,BODY OF RESEARCH,MYTHIC,12.0,1.29,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
242,BODY OF RESEARCH (EXTENDED ART),MYTHIC,1.0,4.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
243,BOOKWURM,UNCOMMON,19.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
244,BRACKISH TRUDGE,UNCOMMON,19.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
245,BURROG BEFUDDLER,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
246,BURY IN BOOKS,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
247,CALLOUS BLOODMAGE (EXTENDED ART),RARE,2.0,1.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
248,CAMPUS GUIDE,COMMON,8.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
249,CHARGE THROUGH,COMMON,5.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
250,CLEVER LUMIMANCER,UNCOMMON,3.0,0.49,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
251,CLEVER LUMIMANCER,UNCOMMON,12.0,0.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
252,CLOSING STATEMENT,UNCOMMON,17.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
253,"CODIE, VOCIFEROUS CODEX",RARE,10.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
254,"CODIE, VOCIFEROUS CODEX (EXTENDED ART)",RARE,2.0,2.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
255,COGWORK ARCHIVIST,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
256,COMBAT PROFESSOR,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
257,CONFRONT THE PAST,RARE,9.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
258,CONFRONT THE PAST (EXTENDED ART),RARE,1.0,0.33,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
259,CONFRONT THE PAST (EXTENDED ART),RARE,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
260,CONSPIRACY THEORIST,RARE,7.0,0.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
261,CONSPIRACY THEORIST (EXTENDED ART),RARE,1.0,0.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
262,CONTAINMENT BREACH,UNCOMMON,8.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
263,CRAM SESSION,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
264,CREATIVE OUTBURST,UNCOMMON,18.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
265,CRUSHING DISAPPOINTMENT,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
266,CULLING RITUAL,RARE,3.0,5.49,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
267,CULLING RITUAL (EXTENDED ART),RARE,2.0,6.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
268,CULMINATION OF STUDIES,RARE,13.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
269,CULMINATION OF STUDIES (EXTENDED ART),RARE,3.0,0.33,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
270,CULMINATION OF STUDIES (EXTENDED ART),RARE,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
271,CURATE,COMMON,9.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
272,DAEMOGOTH TITAN,RARE,10.0,0.79,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
273,DAEMOGOTH TITAN (EXTENDED ART),RARE,4.0,1.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
274,DAEMOGOTH WOE-EATER,UNCOMMON,17.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
275,DEADLY BREW,UNCOMMON,14.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
276,DECISIVE DENIAL,UNCOMMON,16.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
277,DEFEND THE CAMPUS,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
278,DETENTION VORTEX,UNCOMMON,16.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
279,DEVASTATING MASTERY,RARE,11.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
280,DEVASTATING MASTERY (EXTENDED ART),RARE,3.0,0.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
281,DEVOURING TENDRILS,UNCOMMON,8.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
282,"DINA, SOUL STEEPER",UNCOMMON,13.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
283,DIVIDE BY ZERO,UNCOMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
284,DOUBLE MAJOR,RARE,4.0,1.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
285,DRACONIC INTERVENTION,RARE,11.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
286,DRACONIC INTERVENTION (EXTENDED ART),RARE,10.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
287,DRAGON'S APPROACH,COMMON,13.0,2.29,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
288,DRAGONSGUARD ELITE,RARE,8.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
289,DRAGONSGUARD ELITE (EXTENDED ART),RARE,4.0,0.69,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
290,DRAMATIC FINALE,RARE,10.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
291,DRAMATIC FINALE (EXTENDED ART),RARE,1.0,0.49,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
292,DREAM STRIX,RARE,15.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
293,DREAM STRIX (EXTENDED ART),RARE,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
294,DREAM STRIX (EXTENDED ART),RARE,3.0,0.25,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
295,DUELING COACH,UNCOMMON,15.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
296,EAGER FIRST-YEAR,COMMON,5.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
297,ECOLOGICAL APPRECIATION,MYTHIC,1.0,0.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
298,ECOLOGICAL APPRECIATION (EXTENDED ART),MYTHIC,6.0,1.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
299,EFREET FLAMEPAINTER,RARE,5.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
300,EFREET FLAMEPAINTER (EXTENDED ART),RARE,1.0,1.49,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
301,ELEMENTAL EXPRESSIONIST,RARE,15.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
302,ELEMENTAL EXPRESSIONIST (EXTENDED ART),RARE,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
303,ELEMENTAL MASTERPIECE,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
304,ELEMENTAL SUMMONING,COMMON,10.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
305,ELITE SPELLBINDER,RARE,6.0,3.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
306,ELITE SPELLBINDER,RARE,3.0,2.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
307,ELITE SPELLBINDER (EXTENDED ART),RARE,1.0,7.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
308,ELITE SPELLBINDER (EXTENDED ART),RARE,11.0,3.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
309,EMERGENT SEQUENCE,UNCOMMON,16.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
310,ENTHUSIASTIC STUDY,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
311,ESSENCE INFUSION,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
312,EUREKA MOMENT,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
313,EXCAVATED WALL,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
314,EXHILARATING ELOCUTION,COMMON,5.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
315,EXPANDED ANATOMY,COMMON,9.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
316,EXPEL,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
317,EXPLOSIVE WELCOME,UNCOMMON,19.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
318,EXPONENTIAL GROWTH,RARE,12.0,0.69,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
319,EXPONENTIAL GROWTH (EXTENDED ART),RARE,1.0,1.29,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
320,EXPRESSIVE ITERATION,UNCOMMON,1.0,7.88,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
321,"EXTUS, ORIQ OVERLORD / AWAKEN THE BLOOD AVATAR",MYTHIC,3.0,1.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
322,"EXTUS, ORIQ OVERLORD / AWAKEN THE BLOOD AVATAR",MYTHIC,8.0,1.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
323,"EXTUS, ORIQ OVERLORD / AWAKEN THE BLOOD AVATAR (EXTENDED ART)",MYTHIC,4.0,8.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
324,FERVENT MASTERY,RARE,15.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
325,FERVENT MASTERY (EXTENDED ART),RARE,1.0,0.49,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
326,FERVENT MASTERY (EXTENDED ART),RARE,8.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
327,FIELD TRIP,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
328,FIRST DAY OF CLASS,COMMON,2.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
329,FLAMESCROLL CELEBRANT / REVEL IN SILENCE,RARE,11.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
330,FLAMESCROLL CELEBRANT / REVEL IN SILENCE (EXTENDED ART),RARE,1.0,0.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
331,FLUNK,UNCOMMON,19.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
332,FORTIFYING DRAUGHT,UNCOMMON,20.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
333,FRACTAL SUMMONING,COMMON,10.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
334,FROST TRICKSTER,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
335,FROSTBOIL SNARL (EXTENDED ART),RARE,1.0,5.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
336,FROSTBOIL SNARL (EXTENDED ART),RARE,9.0,4.89,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
337,FUMING EFFIGY,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
338,FURYCALM SNARL,RARE,14.0,1.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
339,FURYCALM SNARL (EXTENDED ART),RARE,4.0,3.49,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
340,FURYCALM SNARL (EXTENDED ART),RARE,4.0,3.49,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
341,GALAZETH PRISMARI,MYTHIC,1.0,6.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
342,GALAZETH PRISMARI (BORDERLESS),MYTHIC,1.0,12.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
343,GNARLED PROFESSOR,RARE,12.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
344,GNARLED PROFESSOR (EXTENDED ART),RARE,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
345,GOLDEN RATIO,UNCOMMON,18.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
346,GRINNING IGNUS,UNCOMMON,17.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
347,GUIDING VOICE,COMMON,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
348,HALL MONITOR,UNCOMMON,13.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
349,HALL OF ORACLES,RARE,6.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
350,HARNESS INFINITY,MYTHIC,1.0,0.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
351,HARNESS INFINITY,MYTHIC,3.0,0.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
352,HEATED DEBATE,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
353,HOFRI GHOSTFORGE (EXTENDED ART),MYTHIC,3.0,3.99,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
354,HOFRI GHOSTFORGE (EXTENDED ART),MYTHIC,1.0,3.99,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
355,HONOR TROLL,UNCOMMON,18.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
356,HUMILIATE,UNCOMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
357,IGNEOUS INSPIRATION,UNCOMMON,20.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
358,ILLUMINATE HISTORY,RARE,9.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
359,ILLUMINATE HISTORY (EXTENDED ART),RARE,3.0,0.25,ENGLISH,FOIL,NEAR MINT,3277 STRIXHAVEN
360,ILLUMINATE HISTORY (EXTENDED ART),RARE,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
361,ILLUSTRIOUS HISTORIAN,COMMON,7.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
362,INFUSE WITH VITALITY,COMMON,9.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
363,INGENIOUS MASTERY,RARE,11.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
364,INGENIOUS MASTERY (EXTENDED ART),RARE,4.0,0.25,ENGLISH,NORMAL,NEAR MINT,3277 STRIXHAVEN
