,Name,Number,Rarity,Details,Quantity,Price,Language,Finish,Condition,Expansion
59,Splendid Reclamation,,,,13.0,0.99,English,Normal,NEAR MINT,Eldritch Moon
60,"Thalia, Heretic Cathar",,,,6.0,6.88,English,Normal,NEAR MINT,Eldritch Moon
61,Tree of Perdition,,,,1.0,21.99,English,Foil,NEAR MINT,Eldritch Moon
62,Ulrich of the Krallenhorde,,Rare,,3.0,6.99,English,Normal,LIGHT PLAY,Eldritch Moon
63,Ulrich of the Krallenhorde,,Rare,,8.0,8.99,English,Normal,NEAR MINT,Eldritch Moon
64,Voldaren Pariah,,,,2.0,2.49,English,Normal,NEAR MINT,Eldritch Moon
205,Academic Dispute,,Uncommon,,19.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
206,Academic Probation,,Rare,,13.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
207,Academic Probation (Extended Art),,Rare,,8.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
208,Academic Probation (Extended Art),,Rare,,4.0,0.25,English,Foil,NEAR MINT,3277 Strixhaven
209,Accomplished Alchemist,,Rare,,1.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
210,Accomplished Alchemist (Extended Art),,Rare,,1.0,1.19,English,Normal,NEAR MINT,3277 Strixhaven
211,Aether Helix,,Uncommon,,16.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
212,Ageless Guardian,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
213,Arcane Subtraction,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
214,Archmage Emeritus,,Rare,,1.0,3.69,English,Normal,NEAR MINT,3277 Strixhaven
215,Archmage Emeritus (Extended Art),,Rare,,1.0,3.99,English,Normal,NEAR MINT,3277 Strixhaven
216,Archway Commons,,Common,,5.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
217,Ardent Dustspeaker,,Uncommon,,19.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
218,Arrogant Poet,,Common,,5.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
219,Augmenter Pugilist / Echoing Equation,,Rare,,8.0,0.69,English,Normal,NEAR MINT,3277 Strixhaven
220,Augmenter Pugilist / Echoing Equation (Extended Art),,Rare,,5.0,0.25,English,Foil,NEAR MINT,3277 Strixhaven
221,Augmenter Pugilist / Echoing Equation (Extended Art),,Rare,,2.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
222,Baleful Mastery,,Rare,,6.0,2.29,English,Normal,NEAR MINT,3277 Strixhaven
223,Basic Conjuration,,Rare,,9.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
224,Basic Conjuration (Extended Art),,Rare,,3.0,0.49,English,Foil,NEAR MINT,3277 Strixhaven
225,Basic Conjuration (Extended Art),,Rare,,10.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
226,Bayou Groff,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
227,Beaming Defiance,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
228,Beledros Witherbloom (Borderless),,Mythic,,4.0,16.99,English,Normal,NEAR MINT,3277 Strixhaven
229,Biblioplex Assistant,,Common,,3.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
230,Big Play,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
231,Biomathematician,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
232,Blade Historian,,Rare,,4.0,0.99,English,Normal,NEAR MINT,3277 Strixhaven
233,Blade Historian (Extended Art),,Rare,,1.0,2.99,English,Foil,NEAR MINT,3277 Strixhaven
234,"Blex, Vexing Pest / Search for Blex",,Mythic,,2.0,1.29,English,Foil,NEAR MINT,3277 Strixhaven
235,"Blex, Vexing Pest / Search for Blex",,Mythic,,3.0,1.19,English,Normal,NEAR MINT,3277 Strixhaven
236,"Blex, Vexing Pest / Search for Blex (Extended Art)",,Mythic,,3.0,2.59,English,Normal,NEAR MINT,3277 Strixhaven
237,Blood Age General,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
238,Blood Researcher,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
239,Blot Out the Sky,,Mythic,,9.0,0.98,English,Normal,NEAR MINT,3277 Strixhaven
240,Blot Out the Sky (Extended Art),,Mythic,,2.0,3.99,English,Foil,NEAR MINT,3277 Strixhaven
241,Body of Research,,Mythic,,12.0,1.29,English,Normal,NEAR MINT,3277 Strixhaven
242,Body of Research (Extended Art),,Mythic,,1.0,4.49,English,Normal,NEAR MINT,3277 Strixhaven
243,Bookwurm,,Uncommon,,19.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
244,Brackish Trudge,,Uncommon,,19.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
245,Burrog Befuddler,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
246,Bury in Books,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
247,Callous Bloodmage (Extended Art),,Rare,,2.0,1.99,English,Normal,NEAR MINT,3277 Strixhaven
248,Campus Guide,,Common,,8.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
249,Charge Through,,Common,,5.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
250,Clever Lumimancer,,Uncommon,,3.0,0.49,English,Foil,NEAR MINT,3277 Strixhaven
251,Clever Lumimancer,,Uncommon,,12.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
252,Closing Statement,,Uncommon,,17.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
253,"Codie, Vociferous Codex",,Rare,,10.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
254,"Codie, Vociferous Codex (Extended Art)",,Rare,,2.0,2.99,English,Normal,NEAR MINT,3277 Strixhaven
255,Cogwork Archivist,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
256,Combat Professor,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
257,Confront the Past,,Rare,,9.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
258,Confront the Past (Extended Art),,Rare,,1.0,0.33,English,Foil,NEAR MINT,3277 Strixhaven
259,Confront the Past (Extended Art),,Rare,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
260,Conspiracy Theorist,,Rare,,7.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
261,Conspiracy Theorist (Extended Art),,Rare,,1.0,0.99,English,Foil,NEAR MINT,3277 Strixhaven
262,Containment Breach,,Uncommon,,8.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
263,Cram Session,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
264,Creative Outburst,,Uncommon,,18.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
265,Crushing Disappointment,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
266,Culling Ritual,,Rare,,3.0,5.49,English,Foil,NEAR MINT,3277 Strixhaven
267,Culling Ritual (Extended Art),,Rare,,2.0,6.99,English,Normal,NEAR MINT,3277 Strixhaven
268,Culmination of Studies,,Rare,,13.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
269,Culmination of Studies (Extended Art),,Rare,,3.0,0.33,English,Foil,NEAR MINT,3277 Strixhaven
270,Culmination of Studies (Extended Art),,Rare,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
271,Curate,,Common,,9.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
272,Daemogoth Titan,,Rare,,10.0,0.79,English,Normal,NEAR MINT,3277 Strixhaven
273,Daemogoth Titan (Extended Art),,Rare,,4.0,1.99,English,Normal,NEAR MINT,3277 Strixhaven
274,Daemogoth Woe-Eater,,Uncommon,,17.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
275,Deadly Brew,,Uncommon,,14.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
276,Decisive Denial,,Uncommon,,16.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
277,Defend the Campus,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
278,Detention Vortex,,Uncommon,,16.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
279,Devastating Mastery,,Rare,,11.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
280,Devastating Mastery (Extended Art),,Rare,,3.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
281,Devouring Tendrils,,Uncommon,,8.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
282,"Dina, Soul Steeper",,Uncommon,,13.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
283,Divide by Zero,,Uncommon,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
284,Double Major,,Rare,,4.0,1.49,English,Normal,NEAR MINT,3277 Strixhaven
285,Draconic Intervention,,Rare,,11.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
286,Draconic Intervention (Extended Art),,Rare,,10.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
287,Dragon's Approach,,Common,,13.0,2.29,English,Normal,NEAR MINT,3277 Strixhaven
288,Dragonsguard Elite,,Rare,,8.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
289,Dragonsguard Elite (Extended Art),,Rare,,4.0,0.69,English,Normal,NEAR MINT,3277 Strixhaven
290,Dramatic Finale,,Rare,,10.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
291,Dramatic Finale (Extended Art),,Rare,,1.0,0.49,English,Foil,NEAR MINT,3277 Strixhaven
292,Dream Strix,,Rare,,15.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
293,Dream Strix (Extended Art),,Rare,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
294,Dream Strix (Extended Art),,Rare,,3.0,0.25,English,Foil,NEAR MINT,3277 Strixhaven
295,Dueling Coach,,Uncommon,,15.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
296,Eager First-Year,,Common,,5.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
297,Ecological Appreciation,,Mythic,,1.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
298,Ecological Appreciation (Extended Art),,Mythic,,6.0,1.99,English,Normal,NEAR MINT,3277 Strixhaven
299,Efreet Flamepainter,,Rare,,5.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
300,Efreet Flamepainter (Extended Art),,Rare,,1.0,1.49,English,Foil,NEAR MINT,3277 Strixhaven
301,Elemental Expressionist,,Rare,,15.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
302,Elemental Expressionist (Extended Art),,Rare,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
303,Elemental Masterpiece,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
304,Elemental Summoning,,Common,,10.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
305,Elite Spellbinder,,Rare,,6.0,3.99,English,Foil,NEAR MINT,3277 Strixhaven
306,Elite Spellbinder,,Rare,,3.0,2.99,English,Normal,NEAR MINT,3277 Strixhaven
307,Elite Spellbinder (Extended Art),,Rare,,1.0,7.99,English,Foil,NEAR MINT,3277 Strixhaven
308,Elite Spellbinder (Extended Art),,Rare,,11.0,3.49,English,Normal,NEAR MINT,3277 Strixhaven
309,Emergent Sequence,,Uncommon,,16.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
310,Enthusiastic Study,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
311,Essence Infusion,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
312,Eureka Moment,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
313,Excavated Wall,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
314,Exhilarating Elocution,,Common,,5.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
315,Expanded Anatomy,,Common,,9.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
316,Expel,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
317,Explosive Welcome,,Uncommon,,19.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
318,Exponential Growth,,Rare,,12.0,0.69,English,Normal,NEAR MINT,3277 Strixhaven
319,Exponential Growth (Extended Art),,Rare,,1.0,1.29,English,Normal,NEAR MINT,3277 Strixhaven
320,Expressive Iteration,,Uncommon,,1.0,7.88,English,Foil,NEAR MINT,3277 Strixhaven
321,"Extus, Oriq Overlord / Awaken the Blood Avatar",,Mythic,,3.0,1.99,English,Foil,NEAR MINT,3277 Strixhaven
322,"Extus, Oriq Overlord / Awaken the Blood Avatar",,Mythic,,8.0,1.49,English,Normal,NEAR MINT,3277 Strixhaven
323,"Extus, Oriq Overlord / Awaken the Blood Avatar (Extended Art)",,Mythic,,4.0,8.99,English,Foil,NEAR MINT,3277 Strixhaven
324,Fervent Mastery,,Rare,,15.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
325,Fervent Mastery (Extended Art),,Rare,,1.0,0.49,English,Foil,NEAR MINT,3277 Strixhaven
326,Fervent Mastery (Extended Art),,Rare,,8.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
327,Field Trip,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
328,First Day of Class,,Common,,2.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
329,Flamescroll Celebrant / Revel in Silence,,Rare,,11.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
330,Flamescroll Celebrant / Revel in Silence (Extended Art),,Rare,,1.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
331,Flunk,,Uncommon,,19.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
332,Fortifying Draught,,Uncommon,,20.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
333,Fractal Summoning,,Common,,10.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
334,Frost Trickster,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
335,Frostboil Snarl (Extended Art),,Rare,,1.0,5.99,English,Foil,NEAR MINT,3277 Strixhaven
336,Frostboil Snarl (Extended Art),,Rare,,9.0,4.89,English,Normal,NEAR MINT,3277 Strixhaven
337,Fuming Effigy,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
338,Furycalm Snarl,,Rare,,14.0,1.49,English,Normal,NEAR MINT,3277 Strixhaven
339,Furycalm Snarl (Extended Art),,Rare,,4.0,3.49,English,Foil,NEAR MINT,3277 Strixhaven
340,Furycalm Snarl (Extended Art),,Rare,,4.0,3.49,English,Normal,NEAR MINT,3277 Strixhaven
341,Galazeth Prismari,,Mythic,,1.0,6.99,English,Foil,NEAR MINT,3277 Strixhaven
342,Galazeth Prismari (Borderless),,Mythic,,1.0,12.99,English,Foil,NEAR MINT,3277 Strixhaven
343,Gnarled Professor,,Rare,,12.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
344,Gnarled Professor (Extended Art),,Rare,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
345,Golden Ratio,,Uncommon,,18.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
346,Grinning Ignus,,Uncommon,,17.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
347,Guiding Voice,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
348,Hall Monitor,,Uncommon,,13.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
349,Hall of Oracles,,Rare,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
350,Harness Infinity,,Mythic,,1.0,0.99,English,Foil,NEAR MINT,3277 Strixhaven
351,Harness Infinity,,Mythic,,3.0,0.99,English,Normal,NEAR MINT,3277 Strixhaven
352,Heated Debate,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
353,Hofri Ghostforge (Extended Art),,Mythic,,3.0,3.99,English,Foil,NEAR MINT,3277 Strixhaven
354,Hofri Ghostforge (Extended Art),,Mythic,,1.0,3.99,English,Normal,NEAR MINT,3277 Strixhaven
355,Honor Troll,,Uncommon,,18.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
356,Humiliate,,Uncommon,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
357,Igneous Inspiration,,Uncommon,,20.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
358,Illuminate History,,Rare,,9.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
359,Illuminate History (Extended Art),,Rare,,3.0,0.25,English,Foil,NEAR MINT,3277 Strixhaven
360,Illuminate History (Extended Art),,Rare,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
361,Illustrious Historian,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
362,Infuse with Vitality,,Common,,9.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
363,Ingenious Mastery,,Rare,,11.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
364,Ingenious Mastery (Extended Art),,Rare,,4.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
365,Ingenious Mastery (Extended Art),,Rare,,1.0,0.33,English,Foil,NEAR MINT,3277 Strixhaven
366,Inkling Summoning,,Common,,10.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
367,Introduction to Annihilation,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
368,Introduction to Prophecy,,Common,,8.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
369,"Jadzi, Oracle of Arcavios / Journey to the Oracle",,Mythic,,9.0,1.39,English,Normal,NEAR MINT,3277 Strixhaven
370,"Jadzi, Oracle of Arcavios / Journey to the Oracle (Extended Art)",,Mythic,,4.0,3.79,English,Normal,NEAR MINT,3277 Strixhaven
371,Karok Wrangler,,Uncommon,,15.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
372,"Kasmina, Enigma Sage",,Mythic,,6.0,1.69,English,Normal,NEAR MINT,3277 Strixhaven
373,"Kasmina, Enigma Sage (Borderless)",,Mythic,,1.0,4.99,English,Normal,NEAR MINT,3277 Strixhaven
374,Kelpie Guide,,Uncommon,,17.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
375,"Kianne, Dean of Substance / Imbraham, Dean of Theory",,Rare,,13.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
376,"Kianne, Dean of Substance / Imbraham, Dean of Theory (Extended Art)",,Rare,,6.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
377,"Killian, Ink Duelist",,Uncommon,,18.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
378,Lash of Malice,,Common,,4.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
379,Leech Fanatic,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
380,Leonin Lightscribe,,Rare,,4.0,0.49,English,Foil,NEAR MINT,3277 Strixhaven
381,Leonin Lightscribe,,Rare,,12.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
382,Leonin Lightscribe (Extended Art),,Rare,,2.0,0.49,English,Foil,NEAR MINT,3277 Strixhaven
383,Leonin Lightscribe (Extended Art),,Rare,,6.0,1.49,English,Normal,NEAR MINT,3277 Strixhaven
384,Letter of Acceptance,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
385,Leyline Invocation,,Common,,5.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
386,Lorehold Apprentice,,Uncommon,,19.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
387,Lorehold Campus,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
388,Lorehold Command,,Rare,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
389,Lorehold Command (Extended Art),,Rare,,7.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
390,Lorehold Excavation,,Uncommon,,16.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
391,Lorehold Pledgemage,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
392,Maelstrom Muse,,Uncommon,,20.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
393,Mage Duel,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
394,Mage Hunter,,Uncommon,,17.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
395,Mage Hunters' Onslaught,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
396,Make Your Mark,,Common,,7.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
397,Manifestation Sage,,Rare,,6.0,0.49,English,Normal,NEAR MINT,3277 Strixhaven
398,Manifestation Sage (Extended Art),,Rare,,2.0,0.49,English,Foil,NEAR MINT,3277 Strixhaven
399,Manifestation Sage (Extended Art),,Rare,,4.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
400,Mascot Exhibition,,Mythic,,1.0,0.79,English,Normal,NEAR MINT,3277 Strixhaven
401,Mascot Exhibition,,Mythic,,3.0,0.99,English,Foil,NEAR MINT,3277 Strixhaven
402,Mascot Exhibition (Extended Art),,Mythic,,1.0,2.99,English,Normal,NEAR MINT,3277 Strixhaven
403,Mascot Interception,,Uncommon,,18.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
404,Master Symmetrist,,Uncommon,,15.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
405,"Mavinda, Students' Advocate",,Mythic,,2.0,1.19,English,Normal,NEAR MINT,3277 Strixhaven
406,Mentor's Guidance,,Uncommon,,20.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
407,Mercurial Transformation,,Uncommon,,9.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
408,"Mila, Crafty Companion / Lukka, Wayward Bonder",,Mythic,,3.0,2.29,English,Normal,NEAR MINT,3277 Strixhaven
409,"Mila, Crafty Companion / Lukka, Wayward Bonder (Borderless)",,Mythic,,3.0,4.99,English,Normal,NEAR MINT,3277 Strixhaven
410,Moldering Karok,,Common,,6.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
411,Mortality Spear,,Uncommon,,9.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
412,Multiple Choice,,Rare,,11.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
413,Multiple Choice (Extended Art),,Rare,,13.0,0.69,English,Normal,NEAR MINT,3277 Strixhaven
414,Necroblossom Snarl,,Rare,,3.0,2.99,English,Foil,NEAR MINT,3277 Strixhaven
415,Necroblossom Snarl (Extended Art),,Rare,,3.0,3.99,English,Foil,NEAR MINT,3277 Strixhaven
416,Necroblossom Snarl (Extended Art),,Rare,,1.0,3.99,English,Normal,NEAR MINT,3277 Strixhaven
417,Necrotic Fumes,,Uncommon,,9.0,0.25,English,Normal,NEAR MINT,3277 Strixhaven
