"","Count","Name","Expansion","Condition","Language","Finish"
"114",1,"Nessian Demolok","Born of the Gods","Near Mint","English","Normal"
"115",3,"Nessian Asp","Theros","Near Mint","English","Normal"
"116",2,"Natural End","Core Set 2020","Near Mint","English","Normal"
"117",2,"Naturalize","Rivals of Ixalan","Near Mint","English","Normal"
"118",2,"Naturalize","Core 2019","Near Mint","English","Normal"
"119",3,"Natural Obsolescence","Aether Revolt","Near Mint","English","Normal"
"120",1,"Nantuko Cultivator","Modern Horizons","Near Mint","English","Normal"
"121",3,"Murasa Ranger","Battle for Zendikar","Near Mint","English","Normal"
"122",2,"Murasa Behemoth","Modern Horizons","Near Mint","English","Normal"
"123",6,"Mortal's Resolve","Born of the Gods","Near Mint","English","Normal"
"124",1,"Monstrous Step","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"125",1,"Might of the Masses","Guilds of Ravnica","Near Mint","English","Normal"
"126",1,"Mending Touch","Dragon's Maze","Near Mint","English","Normal"
"127",5,"Maraleaf Rider","Throne of Eldraine","Near Mint","English","Normal"
"128",1,"Mammoth Spider","Core Set 2020","Near Mint","English","Normal"
"129",1,"Mammoth Spider","Ravnica Allegiance","Near Mint","English","Normal"
"130",1,"Llanowar Tribe","Modern Horizons","Near Mint","English","Normal"
"131",3,"Llanowar Envoy","Dominaria","Near Mint","English","Normal"
"132",4,"Lifecraft Cavalry","Aether Revolt","Near Mint","English","Normal"
"133",1,"Ley Weaver","Battlebond","Near Mint","English","Normal"
"134",2,"Leafkin Druid","Core Set 2020","Near Mint","English","Normal"
"135",4,"Kruphix's Insight","Journey into Nyx","Near Mint","English","Normal"
"136",2,"Krosan Tusker","Modern Horizons","Near Mint","English","Normal"
"137",2,"Krosan Druid","Dominaria","Near Mint","English","Normal"
"138",2,"Kronch Wrangler","War of the Spark","Near Mint","English","Normal"
"139",1,"Kraul Foragers","Guilds of Ravnica","Near Mint","English","Normal"
"140",1,"Kenrith's Transformation","Throne of Eldraine","Near Mint","English","Normal"
"141",1,"Keeper of Fables","Throne of Eldraine","Near Mint","English","Normal"
"142",9,"Karametra's Favor","Born of the Gods","Near Mint","English","Normal"
"143",1,"Jadecraft Artisan","Rivals of Ixalan","Near Mint","English","Normal"
"144",2,"Jungleborn Pioneer","Rivals of Ixalan","Near Mint","English","Normal"
"145",3,"Jade Guardian","Ixalan","Near Mint","English","Normal"
"146",2,"Jade Bearer","Rivals of Ixalan","Near Mint","English","Normal"
"147",1,"Ixalli's Keeper","Ixalan","Near Mint","English","Normal"
"148",1,"Irresistible Prey","Conspiracy: Take the Crown","Near Mint","English","Normal"
"149",1,"Ironshell Beetle","Guilds of Ravnica","Near Mint","English","Normal"
"150",7,"Insatiable Appetite","Throne of Eldraine","Near Mint","English","Normal"
"151",4,"Initiate's Companion","Amonkhet","Near Mint","English","Normal"
"152",1,"Incremental Growth","Khans of Tarkir","Near Mint","English","Normal"
"153",1,"Hunt the Weak","Fate Reforged","Near Mint","English","Normal"
"154",2,"Hunt the Weak","Rivals of Ixalan","Near Mint","English","Normal"
"155",1,"Humble Naturalist","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"156",1,"Hope Tender","Hour of Devastation","Near Mint","English","Normal"
"157",1,"Honey Mammoth","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"158",3,"Hitchclaw Recluse","Guilds of Ravnica","Near Mint","English","Normal"
"159",1,"Highland Game","Core 2019","Near Mint","English","Normal"
"160",1,"Hermit of the Natterknolls","Shadows Over Innistrad","Near Mint","English","Normal"
"161",1,"Healer of the Glade","Core Set 2020","Near Mint","English","Normal"
"162",5,"Haze of Pollen","Amonkhet","Near Mint","English","Normal"
"163",4,"Harrier Naga","Hour of Devastation","Near Mint","English","Normal"
"164",1,"Greenwood Sentinel","Core Set 2020","Near Mint","English","Normal"
"165",1,"Greenwood Sentinel","Core 2019","Near Mint","English","Normal"
"166",5,"Greater Sandwurm","Amonkhet","Near Mint","English","Normal"
"167",1,"Grappling Sundew","Guilds of Ravnica","Near Mint","English","Normal"
"168",1,"Graf Mole","Shadows Over Innistrad","Near Mint","English","Normal"
"169",1,"Glowstone Recluse (Showcase)","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"170",1,"Glowstone Recluse","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"171",1,"Giltgrove Stalker","Rivals of Ixalan","Near Mint","English","Normal"
"172",1,"Gift of Strength","Ravnica Allegiance","Near Mint","English","Normal"
"173",1,"Gift of Paradise","Core Set 2020","Near Mint","English","Normal"
"174",1,"Gift of Paradise","Amonkhet","Near Mint","English","Normal"
"175",2,"Giant Spider","Core 2019","Near Mint","English","Normal"
"176",2,"Giant Opportunity","Throne of Eldraine","Near Mint","English","Normal"
"177",2,"Giant Growth","War of the Spark","Near Mint","English","Normal"
"178",1,"Ghirapur Guide","Core 2019","Near Mint","English","Normal"
"179",1,"Ghastbark Twins","Core 2019","Near Mint","English","Normal"
"180",1,"Generous Stray","Guilds of Ravnica","Near Mint","English","Normal"
"181",5,"Garenbrig Squire","Throne of Eldraine","Near Mint","English","Normal"
"182",5,"Garenbrig Paladin","Throne of Eldraine","Near Mint","English","Normal"
"183",7,"Garenbrig Carver","Throne of Eldraine","Near Mint","English","Normal"
"184",1,"Fruit of the First Tree","Fate Reforged","Near Mint","English","Normal"
"185",2,"Frostwalla","Modern Horizons","Near Mint","English","Normal"
"186",1,"Frilled Sandwalla","Hour of Devastation","Near Mint","English","Normal"
"187",1,"Foul Emissary","Eldritch Moon","Near Mint","English","Normal"
"188",4,"Forced Landing","War of the Spark","Near Mint","English","Normal"
"189",3,"Font of Fertility","Journey into Nyx","Near Mint","English","Normal"
"190",1,"Flycatcher Giraffid","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"191",2,"Flaxen Intruder","Throne of Eldraine","Near Mint","English","Normal"
"192",4,"Fierce Witchstalker","Throne of Eldraine","Near Mint","English","Normal"
"193",2,"Ferocious Pup","Core Set 2020","Near Mint","English","Normal"
"194",1,"Feral Prowler","Hour of Devastation","Near Mint","English","Normal"
"195",3,"Feral Invocation","Core Set 2020","Near Mint","English","Normal"
"196",6,"Fell the Pheasant","Throne of Eldraine","Near Mint","English","Normal"
"197",2,"Excavating Anurid","Modern Horizons","Near Mint","English","Normal"
"198",1,"Excavation Mole","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"199",2,"Essence Symbiote","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"200",1,"Elvish Rejuvenator","Core 2019","Near Mint","English","Normal"
"201",2,"Elvish Fury","Modern Horizons","Near Mint","English","Normal"
"202",1,"Elfhame Druid","Dominaria","Near Mint","English","Normal"
"203",1,"Edgewall Innkeeper","Throne of Eldraine","Near Mint","English","Normal"
"204",1,"Dune Diviner","Hour of Devastation","Near Mint","English","Normal"
"205",1,"Dryad Greenseeker","Core 2019","Near Mint","English","Normal"
"206",3,"Druid of the Cowl","Aether Revolt","Near Mint","English","Normal"
"207",2,"Druid of the Cowl","Core 2019","Near Mint","English","Normal"
"208",2,"Druid of Horns","Core 2019","Near Mint","English","Normal"
"209",1,"Dromoka's Gift","Dragons of Tarkir","Near Mint","English","Normal"
"210",1,"Devotee of Strength","Hour of Devastation","Near Mint","English","Normal"
"211",2,"Devkarin Dissident","Guilds of Ravnica","Near Mint","English","Normal"
"212",1,"Deeproot Warrior","Ixalan","Near Mint","English","Normal"
"213",2,"Declare Dominance","Core 2019","Near Mint","English","Normal"
"214",2,"Daggerback Basilisk","Core 2019","Near Mint","English","Normal"
"215",3,"Curious Pair","Throne of Eldraine","Near Mint","English","Normal"
"216",1,"Crushing Canopy","Guilds of Ravnica","Near Mint","English","Normal"
"217",2,"Crushing Canopy","Ixalan","Near Mint","English","Normal"
"218",1,"Crocodile of the Crossing","Amonkhet","Near Mint","English","Normal"
"219",1,"Crash the Ramparts","Ixalan","Near Mint","English","Normal"
"220",1,"Corrosive Ooze","Dominaria","Near Mint","English","Normal"
"221",1,"Copperhorn Scout","Magic: The Gathering—Conspiracy","Near Mint","English","Normal"
"222",1,"Conifer Wurm","Modern Horizons","Near Mint","English","Normal"
"223",1,"Commune with the Gods","Theros","Near Mint","English","Normal"
"224",8,"Colossapede","Amonkhet","Near Mint","English","Normal"
"225",1,"Colossal Dreadmaw","Rivals of Ixalan","Near Mint","English","Normal"
"226",1,"Colossal Dreadmaw","Ixalan","Near Mint","English","Normal"
"227",3,"Colossal Dreadmaw","Core 2019","Near Mint","English","Normal"
"228",1,"Circle of Elders","Dragons of Tarkir","Near Mint","English","Normal"
"229",1,"Centaur Nurturer","War of the Spark","Near Mint","English","Normal"
"230",3,"Centaur Courser","Core Set 2020","Near Mint","English","Normal"
"231",2,"Centaur Courser","Core 2019","Near Mint","English","Normal"
"232",1,"Broken Bond","Dominaria","Near Mint","English","Normal"
"233",1,"Bristling Boar","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"234",2,"Bristling Boar","Core 2019","Near Mint","English","Normal"
"235",1,"Brightwood Tracker","Core Set 2020","Near Mint","English","Normal"
"236",1,"Borderland Explorer","Conspiracy: Take the Crown","Near Mint","English","Normal"
"237",1,"Blossom Dryad","Ixalan","Near Mint","English","Normal"
"238",2,"Bloom Hulk","War of the Spark","Near Mint","English","Normal"
"239",2,"Blinding Fog","Ixalan","Near Mint","English","Normal"
"240",2,"Bitterbow Sharpshooters","Hour of Devastation","Near Mint","English","Normal"
"241",5,"Bitterblade Warrior","Amonkhet","Near Mint","English","Normal"
"242",3,"Benefaction of Rhonas","Amonkhet","Near Mint","English","Normal"
"243",1,"Beneath the Sands","Hour of Devastation","Near Mint","English","Normal"
"244",3,"Bellowing Elk","Modern Horizons","Near Mint","English","Normal"
"245",2,"Beanstalk Giant","Throne of Eldraine","Near Mint","English","Normal"
"246",1,"Barrier Breach","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"247",1,"Barkhide Troll","Core Set 2020","Near Mint","English","Normal"
"248",3,"Band Together","War of the Spark","Near Mint","English","Normal"
"249",1,"Baloth Gorger","Dominaria","Near Mint","English","Normal"
"250",1,"Axebane Beast","Ravnica Allegiance","Near Mint","English","Normal"
"251",1,"Atzocan Archer","Ixalan","Near Mint","English","Normal"
"252",1,"Arlinn's Wolf","War of the Spark","Near Mint","English","Normal"
"253",1,"Ancient Animus","Dominaria","Near Mint","English","Normal"
"254",2,"Ambuscade","Hour of Devastation","Near Mint","English","Normal"
"255",1,"Alpha Tyrranax","Scars of Mirrodin","Near Mint","English","Normal"
"256",1,"Aggressive Urge","Rivals of Ixalan","Near Mint","English","Normal"
"257",1,"Affectionate Indrik","Guilds of Ravnica","Near Mint","English","Normal"
"258",3,"Aetherstream Leopard","Aether Revolt","Near Mint","English","Normal"
"259",2,"Adventurous Impulse","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"260",2,"Adaptive Snapjaw","Gatecrash","Near Mint","English","Normal"
"261",1,"Abzan Beastmaster","Fate Reforged","Near Mint","English","Normal"
"262",1,"Zhalfirin Decoy","Modern Horizons","Near Mint","English","Normal"
"263",5,"Youthful Knight","Throne of Eldraine","Near Mint","English","Normal"
"264",1,"Yoked Ox","Core Set 2020","Near Mint","English","Normal"
"265",2,"Winged Shepherd","Amonkhet","Near Mint","English","Normal"
"266",1,"Watchful Giant","Ravnica Allegiance","Near Mint","English","Normal"
"267",2,"War Screecher","War of the Spark","Near Mint","English","Normal"
"268",1,"Wake the Reflections","Dragon's Maze","Near Mint","English","Normal"
"269",1,"Vizier of the True","Hour of Devastation","Near Mint","English","Normal"
"270",2,"Vizier of Remedies","Amonkhet","Near Mint","English","Normal"
"271",1,"Vizier of Deferment","Amonkhet","Near Mint","English","Normal"
"272",2,"Venerable Knight","Throne of Eldraine","Near Mint","English","Normal"
"273",4,"Unwavering Initiate","Amonkhet","Near Mint","English","Normal"
"274",1,"Twilight Panther","Ravnica Allegiance","Near Mint","English","Normal"
"275",2,"Trusty Packbeast","Core 2019","Near Mint","English","Normal"
"276",1,"Trustworthy Scout","Modern Horizons","Near Mint","English","Normal"
"277",5,"Trusted Pegasus","War of the Spark","Near Mint","English","Normal"
"278",5,"True Love's Kiss","Throne of Eldraine","Near Mint","English","Normal"
"279",1,"Traveling Philosopher","Theros","Near Mint","English","Normal"
"280",4,"Trapped in the Tower","Throne of Eldraine","Near Mint","English","Normal"
"281",1,"Topplegeist","Shadows Over Innistrad","Near Mint","English","Normal"
"282",3,"Topple the Statue","War of the Spark","Near Mint","English","Normal"
"283",1,"Timely Hordemate","Khans of Tarkir","Near Mint","English","Normal"
"284",1,"Time to Reflect","Amonkhet","Near Mint","English","Normal"
"285",2,"Throne Warden","Conspiracy: Take the Crown","Near Mint","English","Normal"
"286",4,"Those Who Serve","Amonkhet","Near Mint","English","Normal"
"287",2,"Teyo's Lightshield","War of the Spark","Near Mint","English","Normal"
"288",1,"Teyo, the Shieldmage","War of the Spark","Near Mint","English","Normal"
"289",1,"Take Vengeance","Core 2019","Near Mint","English","Normal"
"290",4,"Take Heart","Guilds of Ravnica","Near Mint","English","Normal"
"291",1,"Taj-Nar Swordsmith","Modern Masters 2015 Edition","Near Mint","English","Normal"
"292",5,"Tah-Crop Elite","Amonkhet","Near Mint","English","Normal"
"293",2,"Syr Alin, the Lion's Claw","Throne of Eldraine","Near Mint","English","Normal"
"294",1,"Syndic of Tithes","Gatecrash","Near Mint","English","Normal"
"295",1,"Sworn Companions","Guilds of Ravnica","Near Mint","English","Normal"
"296",1,"Swallow Whole","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"297",5,"Suspension Field","Khans of Tarkir","Near Mint","English","Normal"
"298",1,"Surge of Righteousness","Dragons of Tarkir","Near Mint","English","Normal"
"299",2,"Supply Caravan","Amonkhet","Near Mint","English","Normal"
"300",1,"Sun Sentinel","Rivals of Ixalan","Near Mint","English","Normal"
"301",2,"Summary Judgment","Ravnica Allegiance","Near Mint","English","Normal"
"302",3,"Stoneforge Acolyte","Oath of the Gatewatch","Near Mint","English","Normal"
"303",1,"Stirring Address","Modern Horizons","Near Mint","English","Normal"
"304",1,"Steward of Solidarity","Hour of Devastation","Near Mint","English","Normal"
"305",2,"Steadfast Sentry","Core Set 2020","Near Mint","English","Normal"
"306",2,"Steadfast Sentinel","Hour of Devastation","Near Mint","English","Normal"
"307",2,"Star-Crowned Stag","Core 2019","Near Mint","English","Normal"
"308",1,"Stalwart Shield-Bearers","Rise of the Eldrazi","Near Mint","English","Normal"
"309",2,"Squad Captain","Core Set 2020","Near Mint","English","Normal"
"310",1,"Splendor Mare","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"311",5,"Sparring Mummy","Amonkhet","Near Mint","English","Normal"
"312",1,"Soulcatcher","Eternal Masters","Near Mint","English","Normal"
"313",1,"Soul-Strike Technique","Modern Horizons","Near Mint","English","Normal"
"314",1,"Soul Summons","Fate Reforged","Near Mint","English","Normal"
"315",1,"Solitary Camel","Hour of Devastation","Near Mint","English","Normal"
"316",1,"Solid Footing","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"317",1,"Sky Tether","Ravnica Allegiance","Near Mint","English","Normal"
"318",5,"Silverflame Squire","Throne of Eldraine","Near Mint","English","Normal"
"319",4,"Silverflame Ritual","Throne of Eldraine","Near Mint","English","Normal"
"320",1,"Silverchase Fox","Magic: The Gathering—Conspiracy","Near Mint","English","Normal"
"321",4,"Shining Armor","Throne of Eldraine","Near Mint","English","Normal"
"322",1,"Shining Aerosaur","Ixalan","Near Mint","English","Normal"
"323",1,"Shepherd of the Flock","Throne of Eldraine","Near Mint","English","Normal"
"324",1,"Settle Beyond Reality","Modern Horizons","Near Mint","English","Normal"
"325",1,"Serra Angel","Magic 2012","Near Mint","English","Normal"
"326",2,"Sergeant-at-Arms","Dominaria","Near Mint","English","Normal"
"327",3,"Segovian Angel","Modern Horizons","Near Mint","English","Normal"
"328",1,"Saving Grace","Hour of Devastation","Near Mint","English","Normal"
"329",1,"Savai Sabertooth","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"330",1,"Sanctum Spirit","Dominaria","Near Mint","English","Normal"
"331",2,"Sanguine Glorifier","Rivals of Ixalan","Near Mint","English","Normal"
"332",1,"Sandstorm Charger","Dragons of Tarkir","Near Mint","English","Normal"
"333",1,"Sacred Cat","Amonkhet","Near Mint","English","Normal"
"334",3,"Rustwing Falcon","Core 2019","Near Mint","English","Normal"
"335",1,"Rising Populace","War of the Spark","Near Mint","English","Normal"
"336",2,"Righteousness","Throne of Eldraine","Near Mint","English","Normal"
"337",1,"Righteous Blow","Guilds of Ravnica","Near Mint","English","Normal"
"338",1,"Rhox Veteran","Modern Horizons","Near Mint","English","Normal"
"339",6,"Rhet-Crop Spearmaster","Amonkhet","Near Mint","English","Normal"
"340",2,"Revitalize","Core 2019","Near Mint","English","Normal"
"341",1,"Renewed Faith","Amonkhet","Near Mint","English","Normal"
"342",1,"Raptor Companion","Rivals of Ixalan","Near Mint","English","Normal"
"343",1,"Raptor Companion","Ixalan","Near Mint","English","Normal"
"344",1,"Raise the Alarm","Core Set 2020","Near Mint","English","Normal"
"345",1,"Rallying Roar","Ixalan","Near Mint","English","Normal"
"346",1,"Rally for the Throne","Throne of Eldraine","Near Mint","English","Normal"
"347",2,"Prowling Caracal","Ravnica Allegiance","Near Mint","English","Normal"
"348",2,"Protection of the Hekma","Amonkhet","Near Mint","English","Normal"
"349",2,"Prized Griffin","Throne of Eldraine","Near Mint","English","Normal"
"350",2,"Pouncing Lynx","War of the Spark","Near Mint","English","Normal"
"351",3,"Pious Interdiction","Ixalan","Near Mint","English","Normal"
"352",1,"Perimeter Sergeant","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"353",2,"Pegasus Courser","Core 2019","Near Mint","English","Normal"
"354",2,"Pegasus Courser","Dominaria","Near Mint","English","Normal"
"355",1,"Patagia Tiger","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"356",2,"Paladin of the Bloodstained","Ixalan","Near Mint","English","Normal"
"357",3,"Pacifism","Core Set 2020","Near Mint","English","Normal"
"358",1,"Pacifism","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"359",5,"Outflank","Throne of Eldraine","Near Mint","English","Normal"
"360",3,"Oreskos Swiftclaw","Core 2019","Near Mint","English","Normal"
"361",1,"Oreskos Explorer","Battlebond","Near Mint","English","Normal"
"362",4,"Oppressive Rays","Journey into Nyx","Near Mint","English","Normal"
"363",4,"Ondu Rising","Battle for Zendikar","Near Mint","English","Normal"
"364",1,"Oketra's Avenger","Hour of Devastation","Near Mint","English","Normal"
"365",1,"Nyxborn Shieldmate","Born of the Gods","Near Mint","English","Normal"
"366",1,"Mummy Paramount","Hour of Devastation","Near Mint","English","Normal"
"367",2,"Moorland Inquisitor","Core Set 2020","Near Mint","English","Normal"
"368",3,"Moment of Heroism","Core Set 2020","Near Mint","English","Normal"
"369",2,"Mighty Leap","Core 2019","Near Mint","English","Normal"
"370",2,"Martyr's Soul","Modern Horizons","Near Mint","English","Normal"
"371",2,"Martyr of Dusk","Rivals of Ixalan","Near Mint","English","Normal"
"372",2,"Martyr for the Cause","War of the Spark","Near Mint","English","Normal"
"373",1,"Maned Serval","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"374",1,"Makeshift Battalion","War of the Spark","Near Mint","English","Normal"
"375",1,"Make a Stand","Core 2019","Near Mint","English","Normal"
"376",1,"Lyev Decree","Dragon's Maze","Near Mint","English","Normal"
