Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified
"2","2","Lay of the Land","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:12.078940"
"3","3","Larger Than Life","Kaladesh","Near Mint","English","","","2022-02-27 02:37:12.059361"
"1","1","Lambholt Pacifist","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.034094"
"1","1","Lace with Moonglove","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:12.025392"
"2","2","Kujar Seedsculptor","Kaladesh","Near Mint","English","","","2022-02-27 02:37:12.015433"
"6","6","Intrepid Provisioner","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.006857"
"4","4","Initiate's Companion","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.997922"
"1","1","Hunt the Weak","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.980187"
"3","3","Hooded Brawler","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.970970"
"2","2","Hinterland Logger","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.962184"
"3","3","Highspire Artisan","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.952562"
"5","5","Haze of Pollen","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.925237"
"5","5","Greater Sandwurm","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.906488"
"5","5","Giant Spider","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.897431"
"4","4","Giant Mantis","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:11.877081"
"5","5","Fork in the Road","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.867376"
"7","7","Equestrian Skill","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.841152"
"1","1","Emrakul's Influence","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:11.814575"
"8","8","Earthen Arms","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:11.803400"
"3","3","Druid of the Cowl","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.794220"
"3","3","Dragon-Scarred Bear","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:37:11.776686"
"2","2","Domesticated Hydra","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:11.767991"
"4","4","Dissenter's Deliverance","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.750408"
"1","1","Cult of the Waxing Moon","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.733739"
"3","3","Crossroads Consecrator","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:11.724407"
"6","6","Cowl Prowler","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.715354"
"2","2","Confront the Unknown","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.688507"
"5","5","Commencement of Festivities","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.679287"
"8","8","Colossapede","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.661777"
"1","1","Briarbridge Patrol","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.642916"
"2","2","Bloodbriar","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:11.629522"
"5","5","Bitterblade Warrior","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.617845"
"3","3","Benefaction of Rhonas","Amonkhet","Near Mint","English","","","2022-02-27 02:37:11.587055"
"1","1","Bassara Tower Archer","Journey into Nyx","Near Mint","English","","","2022-02-27 02:37:11.576205"
"3","3","Backwoods Survivalists","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:11.565667"
"2","2","Autumnal Gloom","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.557165"
"2","2","Attune with Aether","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.539882"
"8","8","Aim High","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.520772"
"3","3","Aetherstream Leopard","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.511125"
"2","2","Aether Herder","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.501907"
"5","5","Workshop Assistant","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.482103"
"8","8","Wicker Witch","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.460924"
"11","11","Weldfast Monitor","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.426904"
"5","5","Welder Automaton","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.401313"
"5","5","Watchful Automaton","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.393013"
"4","4","Vial of Dragonfire","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:37:11.366072"
"1","1","Verdant Automaton","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.355568"
"5","5","Universal Solvent","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.342400"
"5","5","True-Faith Censer","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.331198"
"4","4","Torch Gauntlet","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.296946"
"5","5","Terrarion","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:11.274004"
"1","1","Spectral Searchlight","Ravnica: City of Guilds","Good (Lightly Played)","English","","","2022-02-27 02:37:11.263754"
"5","5","Sky Skiff","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.251107"
"1","1","Skeleton Key","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.241010"
"5","5","Shard of Broken Glass","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.228273"
"5","5","Self-Assembler","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.201526"
"15","15","Seer's Lantern","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:11.181466"
"3","3","Scour from Existence","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:11.170289"
"2","2","Runaway Carriage","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.161709"
"4","4","Reservoir Walker","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.144326"
"1","1","Renegade Map","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.136029"
"3","3","Prizefighter Construct","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.126427"
"7","7","Prakhata Pillar-Bug","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.117688"
"2","2","Opaline Unicorn","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:11.108972"
"6","6","Night Market Guard","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.089443"
"1","1","Neglected Heirloom","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.055010"
"2","2","Mobile Garrison","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:11.045979"
"6","6","Metalspinner's Puzzleknot","Kaladesh","Near Mint","English","","","2022-02-27 02:37:11.036952"
"1","1","Mardu Banner","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:11.027373"
"3","3","Magnifying Glass","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:11.017258"
"3","3","Luxa River Shrine","Amonkhet","Near Mint","English","","","2022-02-27 02:37:10.987840"
"1","1","Kozilek's Channeler","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:10.978199"
"3","3","Kitesail","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:10.966352"
"2","2","It of the Horrid Swarm","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:10.957205"
"3","3","Irontread Crusher","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.947120"
"2","2","Inventor's Goggles","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.925707"
"4","4","Implement of Improvement","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.913590"
"5","5","Implement of Ferocity","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.904358"
"6","6","Implement of Examination","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.883878"
"3","3","Implement of Combustion","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.851112"
"3","3","Honed Khopesh","Amonkhet","Near Mint","English","","","2022-02-27 02:37:10.842606"
"1","1","Hexplate Golem","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:10.834713"
"8","8","Hedron Crawler","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:10.825368"
"1","1","Haunted Cloak","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:10.816713"
"4","4","Glassblower's Puzzleknot","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.806352"
"2","2","Foundry Assembler","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.787451"
"6","6","Explosive Apparatus","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:10.766961"
"3","3","Epitaph Golem","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:10.757908"
"5","5","Eager Construct","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.728691"
"6","6","Dukhara Peafowl","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.709032"
"2","2","Cultist's Staff","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:10.688829"
"4","4","Consulate Turret","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.679012"
"7","7","Consulate Skygate","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.652628"
"2","2","Cogworker's Puzzleknot","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.643850"
"2","2","Bronze Sable","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:10.634941"
"5","5","Bastion Mastodon","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.617798"
"4","4","Augmenting Automaton","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.599719"
"1","1","Atarka Monument","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:37:10.590281"
"4","4","Aradara Express","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.580390"
"3","3","Aegis Automaton","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:10.554098"
"6","6","Accomplished Automaton","Kaladesh","Near Mint","English","","","2022-02-27 02:37:10.544266"
"1","1","Abundant Maw","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:10.518990"
"2","2","Metalwork Colossus","Kaladesh","Near Mint","English","foil","","2022-02-27 02:37:10.509780"
"1","1","Weaver of Currents","Amonkhet","Near Mint","English","","","2022-02-27 02:37:10.498436"
"1","1","Viashino Firstblade","Dragon's Maze","Near Mint","English","","","2022-02-27 02:37:10.489292"
"8","8","Vassal Soul","Return to Ravnica","Near Mint","English","","","2022-02-27 02:37:10.479170"
"1","1","Snowhorn Rider","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:10.471100"
"1","1","Silver Drake","Planeshift","Near Mint","English","","","2022-02-27 02:37:10.461015"
"1","1","Secret Plans","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:10.451392"
"1","1","Mournwillow","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:10.438554"
"1","1","Mistmeadow Witch","Modern Masters 2017 Edition","Near Mint","English","","","2022-02-27 02:37:10.429564"
"1","1","Maw of the Obzedat","Dragon's Maze","Near Mint","English","","","2022-02-27 02:37:10.419780"
"1","1","Dimir Guildmage","Modern Masters 2015 Edition","Near Mint","English","","","2022-02-27 02:37:10.410898"
"1","1","Desperate Stand","Journey into Nyx","Near Mint","English","","","2022-02-27 02:37:10.399743"
"3","3","Coiling Oracle","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:10.389241"
"2","2","Auger Spree","Modern Masters 2017 Edition","Near Mint","English","","","2022-02-27 02:37:10.370971"
"1","1","Zealous Strike","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:10.361099"
"2","2","Conviction","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:09.039590"
"4","4","Compulsory Rest","Amonkhet","Near Mint","English","","","2022-02-27 02:37:09.031006"
"6","6","Cliffside Lookout","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:09.013575"
"2","2","Chaplain's Blessing","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:08.996210"
"3","3","Caught in the Brights","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:08.977136"
"1","1","Built to Last","Kaladesh","Near Mint","English","","","2022-02-27 02:37:08.945263"
"1","1","Binding Mummy","Amonkhet","Near Mint","English","","","2022-02-27 02:37:08.934244"
"3","3","Aviary Mechanic","Kaladesh","Near Mint","English","","","2022-02-27 02:37:08.923879"
"3","3","Audacious Infiltrator","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:08.914859"
"3","3","Apothecary Geist","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:08.897359"
"2","2","Anointer Priest","Amonkhet","Near Mint","English","","","2022-02-27 02:37:08.871153"
"3","3","Angelic Purge","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:08.861545"
"1","1","Angelic Gift","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:08.833472"
"2","2","Angel of Renewal","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:08.824398"
"1","1","Ajani's Presence","Journey into Nyx","Near Mint","English","","","2022-02-27 02:37:08.806744"
"1","1","Ainok Bond-Kin","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:08.796457"
"8","8","Affa Protector","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:08.787511"
"3","3","Aether Inspector","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:08.770347"
"1","1","Aegis Angel","Welcome Deck 2016","Good (Lightly Played)","English","","","2022-02-27 02:37:08.754062"
"5","5","Warped Landscape","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:08.738757"
"16","16","Unknown Shores","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:08.704893"
"1","1","Sunscorched Desert","Amonkhet","Near Mint","English","","","2022-02-27 02:37:08.627603"
