"","Name","Edition","Condition","Language","Foil","Count"
"141","Hunt the Weak","Kaladesh","Near Mint","English","",1
"142","Hooded Brawler","Amonkhet","Near Mint","English","",1
"143","Hinterland Logger","Shadows over Innistrad","Near Mint","English","",1
"144","Highspire Artisan","Kaladesh","Near Mint","English","",2
"145","Haze of Pollen","Amonkhet","Near Mint","English","",1
"146","Greater Sandwurm","Amonkhet","Near Mint","English","",1
"147","Giant Spider","Amonkhet","Near Mint","English","",1
"148","Giant Mantis","Battle for Zendikar","Near Mint","English","",1
"149","Fork in the Road","Shadows over Innistrad","Near Mint","English","",1
"150","Equestrian Skill","Shadows over Innistrad","Near Mint","English","",1
"151","Emrakul's Influence","Eldritch Moon","Near Mint","English","",1
"152","Earthen Arms","Battle for Zendikar","Near Mint","English","",2
"153","Druid of the Cowl","Aether Revolt","Near Mint","English","",1
"154","Dragon-Scarred Bear","Dragons of Tarkir","Near Mint","English","",1
"155","Domesticated Hydra","Conspiracy: Take the Crown","Near Mint","English","",1
"156","Dissenter's Deliverance","Amonkhet","Near Mint","English","",1
"157","Cult of the Waxing Moon","Shadows over Innistrad","Near Mint","English","",1
"158","Crossroads Consecrator","Eldritch Moon","Near Mint","English","",1
"159","Cowl Prowler","Kaladesh","Near Mint","English","",1
"160","Confront the Unknown","Shadows over Innistrad","Near Mint","English","",1
"161","Commencement of Festivities","Kaladesh","Near Mint","English","",1
"162","Colossapede","Amonkhet","Near Mint","English","",1
"163","Briarbridge Patrol","Shadows over Innistrad","Near Mint","English","",1
"164","Bloodbriar","Eldritch Moon","Near Mint","English","",1
"165","Bitterblade Warrior","Amonkhet","Near Mint","English","",1
"166","Benefaction of Rhonas","Amonkhet","Near Mint","English","",1
"167","Bassara Tower Archer","Journey into Nyx","Near Mint","English","",1
"168","Backwoods Survivalists","Eldritch Moon","Near Mint","English","",1
"169","Autumnal Gloom","Shadows over Innistrad","Near Mint","English","",1
"170","Attune with Aether","Kaladesh","Near Mint","English","",1
"171","Aim High","Shadows over Innistrad","Near Mint","English","",1
"172","Aetherstream Leopard","Aether Revolt","Near Mint","English","",1
"173","Aether Herder","Aether Revolt","Near Mint","English","",1
"174","Workshop Assistant","Kaladesh","Near Mint","English","",2
"175","Wicker Witch","Shadows over Innistrad","Near Mint","English","",1
"176","Weldfast Monitor","Kaladesh","Near Mint","English","",1
"177","Welder Automaton","Aether Revolt","Near Mint","English","",1
"178","Watchful Automaton","Aether Revolt","Near Mint","English","",1
"179","Vial of Dragonfire","Dragons of Tarkir","Near Mint","English","",2
"180","Verdant Automaton","Aether Revolt","Near Mint","English","",1
"181","Universal Solvent","Aether Revolt","Near Mint","English","",2
"182","True-Faith Censer","Shadows over Innistrad","Near Mint","English","",1
"183","Torch Gauntlet","Kaladesh","Near Mint","English","",1
"184","Terrarion","Eldritch Moon","Near Mint","English","",1
"185","Spectral Searchlight","Ravnica: City of Guilds","Good (Lightly Played)","English","",1
"186","Sky Skiff","Kaladesh","Near Mint","English","",1
"187","Skeleton Key","Shadows over Innistrad","Near Mint","English","",1
"188","Shard of Broken Glass","Shadows over Innistrad","Near Mint","English","",1
"189","Self-Assembler","Kaladesh","Near Mint","English","",1
"190","Seer's Lantern","Oath of the Gatewatch","Near Mint","English","",1
"191","Scour from Existence","Battle for Zendikar","Near Mint","English","",1
"192","Runaway Carriage","Shadows over Innistrad","Near Mint","English","",1
"193","Reservoir Walker","Aether Revolt","Near Mint","English","",1
"194","Renegade Map","Aether Revolt","Near Mint","English","",1
"195","Prizefighter Construct","Aether Revolt","Near Mint","English","",1
"196","Prakhata Pillar-Bug","Kaladesh","Near Mint","English","",1
"197","Opaline Unicorn","Conspiracy: Take the Crown","Near Mint","English","",1
"198","Night Market Guard","Aether Revolt","Near Mint","English","",1
"199","Neglected Heirloom","Shadows over Innistrad","Near Mint","English","",1
"200","Mobile Garrison","Aether Revolt","Near Mint","English","",1
"201","Metalspinner's Puzzleknot","Kaladesh","Near Mint","English","",2
"202","Mardu Banner","Khans of Tarkir","Near Mint","English","",1
"203","Magnifying Glass","Shadows over Innistrad","Near Mint","English","",1
"204","Luxa River Shrine","Amonkhet","Near Mint","English","",1
"205","Kozilek's Channeler","Battle for Zendikar","Near Mint","English","",1
"206","Kitesail","Conspiracy: Take the Crown","Near Mint","English","",1
"207","It of the Horrid Swarm","Eldritch Moon","Near Mint","English","",1
"208","Irontread Crusher","Aether Revolt","Near Mint","English","",1
"209","Inventor's Goggles","Kaladesh","Near Mint","English","",1
"210","Implement of Improvement","Aether Revolt","Near Mint","English","",1
"211","Implement of Ferocity","Aether Revolt","Near Mint","English","",1
"212","Implement of Examination","Aether Revolt","Near Mint","English","",1
"213","Implement of Combustion","Aether Revolt","Near Mint","English","",1
"214","Honed Khopesh","Amonkhet","Near Mint","English","",2
"215","Hexplate Golem","Conspiracy: Take the Crown","Near Mint","English","",1
"216","Hedron Crawler","Oath of the Gatewatch","Near Mint","English","",1
"217","Haunted Cloak","Shadows over Innistrad","Near Mint","English","",1
"218","Glassblower's Puzzleknot","Kaladesh","Near Mint","English","",1
"219","Foundry Assembler","Aether Revolt","Near Mint","English","",1
"220","Explosive Apparatus","Shadows over Innistrad","Near Mint","English","",1
"221","Epitaph Golem","Shadows over Innistrad","Near Mint","English","",1
"222","Eager Construct","Kaladesh","Near Mint","English","",1
"223","Dukhara Peafowl","Kaladesh","Near Mint","English","",1
"224","Cultist's Staff","Eldritch Moon","Near Mint","English","",1
"225","Consulate Turret","Aether Revolt","Near Mint","English","",1
"226","Consulate Skygate","Kaladesh","Near Mint","English","",1
"227","Cogworker's Puzzleknot","Kaladesh","Near Mint","English","",1
"228","Bronze Sable","Conspiracy: Take the Crown","Near Mint","English","",1
"229","Bastion Mastodon","Kaladesh","Near Mint","English","",1
"230","Augmenting Automaton","Aether Revolt","Near Mint","English","",1
"231","Atarka Monument","Dragons of Tarkir","Near Mint","English","",1
"232","Aradara Express","Kaladesh","Near Mint","English","",1
"233","Aegis Automaton","Aether Revolt","Near Mint","English","",1
"234","Accomplished Automaton","Kaladesh","Near Mint","English","",2
"235","Abundant Maw","Eldritch Moon","Near Mint","English","",1
"236","Metalwork Colossus","Kaladesh","Near Mint","English","foil",1
"237","Weaver of Currents","Amonkhet","Near Mint","English","",1
"238","Viashino Firstblade","Dragon's Maze","Near Mint","English","",1
"239","Vassal Soul","Return to Ravnica","Near Mint","English","",1
"240","Snowhorn Rider","Khans of Tarkir","Near Mint","English","",1
"241","Silver Drake","Planeshift","Near Mint","English","",1
"242","Secret Plans","Khans of Tarkir","Near Mint","English","",1
"243","Mournwillow","Eldritch Moon","Near Mint","English","",1
"244","Mistmeadow Witch","Modern Masters 2017 Edition","Near Mint","English","",1
"245","Maw of the Obzedat","Dragon's Maze","Near Mint","English","",1
"246","Dimir Guildmage","Modern Masters 2015 Edition","Near Mint","English","",1
"247","Desperate Stand","Journey into Nyx","Near Mint","English","",1
"248","Coiling Oracle","Conspiracy: Take the Crown","Near Mint","English","",1
"249","Auger Spree","Modern Masters 2017 Edition","Near Mint","English","",1
"250","Zealous Strike","Conspiracy: Take the Crown","Near Mint","English","",1
"251","Conviction","Aether Revolt","Near Mint","English","",2
"252","Compulsory Rest","Amonkhet","Near Mint","English","",1
"253","Cliffside Lookout","Battle for Zendikar","Near Mint","English","",1
"254","Chaplain's Blessing","Shadows over Innistrad","Near Mint","English","",1
"255","Caught in the Brights","Aether Revolt","Near Mint","English","",1
"256","Built to Last","Kaladesh","Near Mint","English","",1
"257","Binding Mummy","Amonkhet","Near Mint","English","",1
"258","Aviary Mechanic","Kaladesh","Near Mint","English","",1
"259","Audacious Infiltrator","Aether Revolt","Near Mint","English","",1
"260","Apothecary Geist","Shadows over Innistrad","Near Mint","English","",1
"261","Anointer Priest","Amonkhet","Near Mint","English","",1
"262","Angelic Purge","Shadows over Innistrad","Near Mint","English","",1
"263","Angelic Gift","Battle for Zendikar","Near Mint","English","",1
"264","Angel of Renewal","Battle for Zendikar","Near Mint","English","",1
"265","Ajani's Presence","Journey into Nyx","Near Mint","English","",1
"266","Ainok Bond-Kin","Khans of Tarkir","Near Mint","English","",2
"267","Affa Protector","Oath of the Gatewatch","Near Mint","English","",1
"268","Aether Inspector","Aether Revolt","Near Mint","English","",1
"269","Aegis Angel","Welcome Deck 2016","Good (Lightly Played)","English","",1
"270","Warped Landscape","Shadows over Innistrad","Near Mint","English","",2
"271","Unknown Shores","Oath of the Gatewatch","Near Mint","English","",1
"272","Sunscorched Desert","Amonkhet","Near Mint","English","",2
"273","Stone Quarry","Shadows over Innistrad","Near Mint","English","",2
"274","Holdout Settlement","Oath of the Gatewatch","Near Mint","English","",2
"275","Highland Lake","Shadows over Innistrad","Near Mint","English","",2
"276","Foul Orchard","Shadows over Innistrad","Near Mint","English","",1
"277","Fertile Thicket","Battle for Zendikar","Near Mint","English","",1
"278","Evolving Wilds","Dragons of Tarkir","Near Mint","English","",1
"279","Evolving Wilds","Amonkhet","Near Mint","English","",1
"280","Evolving Wilds","Conspiracy: Take the Crown","Near Mint","English","",1
"281","Evolving Wilds","Magic 2015 Core Set","Near Mint","English","",1
"282","Evolving Wilds","Battle for Zendikar","Near Mint","English","",1
"283","Crumbling Vestige","Oath of the Gatewatch","Near Mint","English","",2
"284","Cinder Barrens","Oath of the Gatewatch","Near Mint","English","",1
"285","Cradle of the Accursed","Amonkhet","Near Mint","English","",1
"286","Blighted Steppe","Battle for Zendikar","Near Mint","English","",1
"287","Blighted Gorge","Battle for Zendikar","Near Mint","English","",1
"288","Azorius Guildgate","Modern Masters 2017 Edition","Near Mint","English","",2
"289","Azorius Guildgate","Dragon's Maze","Near Mint","English","",1
"290","Wrangle","Aether Revolt","Near Mint","English","",1
"291","Welding Sparks","Kaladesh","Near Mint","English","",1
"292","Voldaren Duelist","Shadows over Innistrad","Near Mint","English","",1
"293","Violent Impact","Amonkhet","Near Mint","English","",1
"294","Vildin-Pack Outcast","Eldritch Moon","Near Mint","English","",1
"295","Vestige of Emrakul","Battle for Zendikar","Near Mint","English","",1
"296","Vessel of Volatility","Shadows over Innistrad","Near Mint","English","",1
"297","Valakut Predator","Battle for Zendikar","Near Mint","English","",1
"298","Valakut Invoker","Battle for Zendikar","Near Mint","English","",1
"299","Uncaged Fury","Shadows over Innistrad","Near Mint","English","",1
"300","Ulrich's Kindred","Shadows over Innistrad","Near Mint","English","",1
"301","Tormenting Voice","Amonkhet","Near Mint","English","",1
"302","Tormenting Voice","Conspiracy: Take the Crown","Near Mint","English","",1
"303","Tormenting Voice","Shadows over Innistrad","Near Mint","English","",1
"304","Thriving Grubs","Kaladesh","Near Mint","English","",1
"305","Thresher Lizard","Amonkhet","Near Mint","English","",1
"306","Structural Distortion","Shadows over Innistrad","Near Mint","English","",1
"307","Stoneshock Giant","Conspiracy: Take the Crown","Near Mint","English","",1
"308","Stonefury","Battle for Zendikar","Near Mint","English","",1
"309","Stensia Innkeeper","Eldritch Moon","Near Mint","English","",1
"310","Stensia Banquet","Eldritch Moon","Near Mint","English","",2
"311","Spontaneous Artist","Kaladesh","Near Mint","English","",2
"312","Spiteful Motives","Shadows over Innistrad","Near Mint","English","",1
"313","Spireside Infiltrator","Kaladesh","Near Mint","English","",1
"314","Sparkmage's Gambit","Oath of the Gatewatch","Near Mint","English","",1
"315","Shatter","Khans of Tarkir","Near Mint","English","",2
"316","Senseless Rage","Shadows over Innistrad","Near Mint","English","",1
"317","Satyr Hoplite","Journey into Nyx","Near Mint","English","",1
"318","Sarkhan's Rage","Dragons of Tarkir","Near Mint","English","",1
"319","Sanguinary Mage","Shadows over Innistrad","Near Mint","English","",1
"320","Salivating Gremlins","Kaladesh","Near Mint","English","",1
"321","Rush of Adrenaline","Shadows over Innistrad","Near Mint","English","",1
"322","Ruinous Gremlin","Kaladesh","Near Mint","English","",2
"323","Renegade Tactics","Kaladesh","Near Mint","English","",1
"324","Reduce to Ashes","Shadows over Innistrad","Near Mint","English","",2
"325","Reckless Fireweaver","Kaladesh","Near Mint","English","",1
"326","Ravenous Bloodseeker","Shadows over Innistrad","Near Mint","English","",1
"327","Pyretic Hunter","Conspiracy: Take the Crown","Near Mint","English","",1
"328","Pyre Hound","Shadows over Innistrad","Near Mint","English","",1
"329","Pursue Glory","Amonkhet","Near Mint","English","",1
"330","Precise Strike","Aether Revolt","Near Mint","English","",1
"331","Pathmaker Initiate","Amonkhet","Near Mint","English","",1
"332","Outnumber","Battle for Zendikar","Near Mint","English","",2
"333","Ogre Sentry","Conspiracy: Take the Crown","Near Mint","English","",1
"334","Nettle Drone","Battle for Zendikar","Near Mint","English","",1
"335","Nef-Crop Entangler","Amonkhet","Near Mint","English","",1
"336","Minotaur Sureshot","Amonkhet","Near Mint","English","",1
"337","Manticore of the Gauntlet","Amonkhet","Near Mint","English","",1
"338","Make Mischief","Eldritch Moon","Near Mint","English","",1
"339","Magmatic Chasm","Shadows over Innistrad","Near Mint","English","",1
"340","Mad Prophet","Shadows over Innistrad","Near Mint","English","",1
"341","Lavastep Raider","Battle for Zendikar","Near Mint","English","",1
"342","Lathnu Sailback","Aether Revolt","Near Mint","English","",1
"343","Kiln Fiend","Conspiracy: Take the Crown","Near Mint","English","",2
"344","Plummet","Conspiracy: Take the Crown","Near Mint","English","",1
"345","Pheres-Band Thunderhoof","Journey into Nyx","Near Mint","English","",1
"346","Overrun","Conspiracy: Take the Crown","Near Mint","English","",1
"347","Ornery Kudu","Amonkhet","Near Mint","English","",1
"348","Ornamental Courage","Kaladesh","Near Mint","English","",1
"349","Oashra Cultivator","Amonkhet","Near Mint","English","",1
"350","Kessig Forgemaster","Shadows over Innistrad","Near Mint","English","",1
"351","Insolent Neonate","Shadows over Innistrad","Near Mint","English","",2
"352","Inner Struggle","Shadows over Innistrad","Near Mint","English","",1
"353","Incorrigible Youths","Shadows over Innistrad","Near Mint","English","",1
"354","Ill-Tempered Cyclops","Conspiracy: Take the Crown","Near Mint","English","",1
"355","Gluttonous Cyclops","Journey into Nyx","Near Mint","English","",1
"356","Gibbering Fiend","Shadows over Innistrad","Near Mint","English","",2
"357","Giant Spectacle","Kaladesh","Near Mint","English","",1
"358","Geistblast","Shadows over Innistrad","Near Mint","English","",2
"359","Gatstaf Arsonists","Shadows over Innistrad","Near Mint","English","",1
"360","Garbage Fire","Conspiracy: Take the Crown","Near Mint","English","",1
"361","Frontline Rebel","Aether Revolt","Near Mint","English","",1
"362","Fling","Amonkhet","Near Mint","English","",1
"363","Falkenrath Reaver","Eldritch Moon","Near Mint","English","",1
"364","Emberhorn Minotaur","Amonkhet","Near Mint","English","",1
"365","Ember-Eye Wolf","Shadows over Innistrad","Near Mint","English","",1
"366","Ember Beast","Conspiracy: Take the Crown","Near Mint","English","",1
"367","Electrify","Amonkhet","Near Mint","English","",1
"368","Dual Shot","Shadows over Innistrad","Near Mint","English","",1
"369","Dragon Fodder","Dragons of Tarkir","Near Mint","English","",1
"370","Dissension in the Ranks","Shadows over Innistrad","Near Mint","English","",1
"371","Devour in Flames","Oath of the Gatewatch","Near Mint","English","",2
"372","Deputized Protester","Conspiracy: Take the Crown","Near Mint","English","",1
"373","Demolish","Kaladesh","Near Mint","English","",1
"374","Dance with Devils","Shadows over Innistrad","Near Mint","English","",1
"375","Coordinated Assault","Conspiracy: Take the Crown","Near Mint","English","",1
"376","Convicted Killer","Shadows over Innistrad","Near Mint","English","",1
"377","Cone of Flame","Welcome Deck 2016","Near Mint","English","",1
"378","Cinder Hellion","Oath of the Gatewatch","Near Mint","English","",1
"379","Chandra's Pyrohelix","Kaladesh","Near Mint","English","",1
"380","Cathartic Reunion","Kaladesh","Near Mint","English","",1
"381","Cartouche of Zeal","Amonkhet","Near Mint","English","",1
"382","Built to Smash","Kaladesh","Near Mint","English","",1
"383","Burn Away","Conspiracy: Take the Crown","Near Mint","English","",1
"384","Brute Strength","Amonkhet","Near Mint","English","",1
"385","Brute Strength","Oath of the Gatewatch","Near Mint","English","",1
"386","Brazen Wolves","Eldritch Moon","Near Mint","English","",1
"387","Borderland Marauder","Welcome Deck 2016","Near Mint","English","",1
"388","Boiling Earth","Battle for Zendikar","Near Mint","English","",1
"389","Bloodmad Vampire","Shadows over Innistrad","Near Mint","English","",2
"390","Bloodlust Inciter","Amonkhet","Near Mint","English","",1
"391","Bloodfire Expert","Khans of Tarkir","Near Mint","English","",1
"392","Blood Mist","Eldritch Moon","Near Mint","English","",1
"393","Aether Chaser","Aether Revolt","Near Mint","English","",1
"394","Write into Being","Fate Reforged","Near Mint","English","",2
"395","Wings of Velis Vel","Modern Masters 2015 Edition","Near Mint","English","",2
"396","Winds of Rebuke","Amonkhet","Near Mint","English","",2
"397","Wind Drake","Kaladesh","Near Mint","English","",1
"398","Weldfast Wingsmith","Kaladesh","Near Mint","English","",1
"399","Wave-Wing Elemental","Battle for Zendikar","Near Mint","English","",1
"400","Water Servant","Modern Masters 2015 Edition","Near Mint","English","",1
"401","Vessel of Paramnesia","Shadows over Innistrad","Near Mint","English","",1
"402","Vedalken Blademaster","Kaladesh","Near Mint","English","",1
"403","Vaporkin","Conspiracy: Take the Crown","Near Mint","English","",1
"404","Uninvited Geist","Shadows over Innistrad","Near Mint","English","",1
"405","Uncovered Clues","Dragon's Maze","Near Mint","English","",1
"406","Umara Entangler","Oath of the Gatewatch","Near Mint","English","",2
"407","Turn Aside","Eldritch Moon","Near Mint","English","",1
"408","Trusted Advisor","Saviors of Kamigawa","Near Mint","English","",2
"409","Traumatic Visions","Conspiracy: Take the Crown","Near Mint","English","",1
"410","Tricks of the Trade","Welcome Deck 2017","Near Mint","English","",1
"411","Thriving Turtle","Kaladesh","Near Mint","English","",2
"412","Thoughtcast","Modern Masters 2015 Edition","Near Mint","English","",2
"413","Tezzeret's Ambition","Kaladesh","Near Mint","English","",1
"414","Take Inventory","Eldritch Moon","Near Mint","English","",1
"415","Take into Custody","Aether Revolt","Near Mint","English","",1
"416","Tah-Crop Skirmisher","Amonkhet","Near Mint","English","",1
"417","Sweep Away","Oath of the Gatewatch","Near Mint","English","",1
"418","Sultai Skullkeeper","Fate Reforged","Near Mint","English","",2
"419","Stormrider Spirit","Shadows over Innistrad","Near Mint","English","",1
"420","Stitchwing Skaab","Shadows over Innistrad","Near Mint","English","",1
